BatchNumber,BatchDesc,BatchTxType,BatchDate,PeriodStart,PeriodEnd,BillingFreq,Posted
157,Friday 5/28/04,PY,5/28/2004,,,,TRUE
158,June Interest,IN,6/1/2004,,,,FALSE
161,"Wednesday, 6/2/04",PY,6/2/2004,,,,TRUE
162,"Thursday, 6/3/04",PY,6/3/2004,,,,TRUE
163,"Monday, 6/7/04",PY,6/7/2004,,,,TRUE
164,"Wednesday, 6/9/04",PY,6/9/2004,,,,TRUE
165,"Friday, 6/11/04",PY,6/11/2004,,,,TRUE
166,"Monday, June 14, 2004",PY,6/14/2004,,,,TRUE
167,"Tuesday, 6/15/04",PY,6/15/2004,,,,TRUE
168,"Thursday, 6/17/04",PY,6/17/2004,,,,TRUE
169,Thursday 6/24/04,PY,6/24/2004,,,,TRUE
170,Tuesday 6/29/04,PY,6/29/2004,,,,TRUE
172,July 2004 Monthly,RD,7/1/2004,6/1/2004,7/1/2004,M,FALSE
173,"Thursday, 7/1/04",PY,7/1/2004,,,,TRUE
174,Wednesday 7/7/04,PY,7/7/2004,,,,TRUE
175,"Thursday, 7/8/04",PY,7/8/2004,,,,TRUE
176,"Friday, 7/9/04",PY,7/9/2004,,,,TRUE
177,"Monday, 7/12/04",PY,7/12/2004,,,,TRUE
178,"Wednesday, 7/14/04",PY,7/14/2004,,,,TRUE
179,"Monday, 7/19/04",PY,7/19/2004,,,,TRUE
180,"Wednesday, 7/21/04",PY,7/21/2004,,,,TRUE
181,"Thursday, 7/22/04",PY,7/22/2004,,,,TRUE
182,"Friday, 7/23/04",PY,7/23/2004,,,,TRUE
183,October 2004 Readings,RD,10/1/2004,4/1/2004,10/1/2004,S,FALSE
184,"Friday, 7/30/04",PY,7/30/2004,,,,TRUE
188,August 2004 Monthly,RD,8/1/2004,7/1/2004,8/1/2004,M,FALSE
189,"Thursday, 8/5/04",PY,8/5/2004,,,,TRUE
190,"Friday, 8/6/04",PY,8/6/2004,,,,TRUE
191,"Tuesday, 8/10/04",PY,8/10/2004,,,,TRUE
192,"Friday, 8/13/04",PY,8/13/2004,,,,TRUE
193,"Tuesday, 8/24/04",PY,8/24/2004,,,,TRUE
194,"Monday, 8/30/04",PY,8/30/2004,,,,TRUE
196,September 2004 Monthly,RD,9/1/2004,8/1/2004,9/1/2004,M,FALSE
197,"Thursday, 9/2/04",PY,9/2/2004,,,,TRUE
198,"Friday, 9/3/04",PY,9/3/2004,,,,TRUE
199,"Wednesday, 9/8/04",PY,9/8/2004,,,,TRUE
200,"Friday, 9/10/04",PY,9/10/2004,,,,TRUE
201,"Tuesday, 9/14/04",PY,9/14/2004,,,,TRUE
202,"Monday, 9/20/04",PY,9/20/2004,,,,TRUE
203,"Thursday, 9/23/04",PY,9/23/2004,,,,TRUE
204,"Thursday, 9/30/04",PY,9/30/2004,,,,TRUE
205,October 2004 Monthly,RD,10/1/2004,9/1/2004,10/1/2004,M,FALSE
206,"Friday, 10/1/04",PY,10/1/2004,,,,TRUE
207,"Monday, October 4, 2004",PY,10/4/2004,,,,TRUE
208,"Tuesday, 10/5/04",PY,10/5/2004,,,,TRUE
209,"Wednesday, 10/6/04",PY,10/6/2004,,,,TRUE
210,"Thursday, 10/7/04",PY,10/7/2004,,,,TRUE
211,"Friday, 10/8/04",PY,10/8/2004,,,,TRUE
212,"Tuesday, 10/12/04",PY,10/12/2004,,,,TRUE
213,"Wednesday, 10/13/04",PY,10/13/2004,,,,TRUE
214,"Thursday, 10/14/04",PY,10/14/2004,,,,TRUE
216,"Friday, 10/15/04",PY,10/15/2004,,,,TRUE
217,"Monday, 10/18/04",PY,10/18/2004,,,,TRUE
218,"Tuesday, 10/19/04",PY,10/19/2004,,,,TRUE
219,"Wednesday, 10/20/04",PY,10/20/2004,,,,TRUE
220,"Thursday, 10/21/04",PY,10/21/2004,,,,TRUE
221,"Friday, 10/22/04",PY,10/22/2004,,,,TRUE
222,"Monday, 10/25/04",PY,10/25/2004,,,,TRUE
223,"Tuesday, 10/26/04",PY,10/26/2004,,,,TRUE
224,"Wednesday, 10/27/04",PY,10/27/2004,,,,TRUE
225,"Thursday, 10/28/04",PY,10/28/2004,,,,TRUE
226,"Friday, 10/29/04",PY,10/29/2004,,,,TRUE
227,November 2004 Monthly,RD,11/1/2004,10/1/2004,11/1/2004,M,FALSE
228,"Monday, 11/1/04",PY,11/1/2004,,,,TRUE
229,"Tuesday, 11/2/04",PY,11/2/2004,,,,TRUE
231,November Interest,IN,11/1/2004,,,,FALSE
233,"Thursday, 11/4/04",PY,11/4/2004,,,,TRUE
234,"Monday, 11/8/04",PY,11/8/2004,,,,TRUE
235,"Wednesday, 11/10/04",PY,11/10/2004,,,,TRUE
237,"Monday, 11/15/04",PY,11/15/2004,,,,TRUE
238,"Tuesday, 11/16/04",PY,11/16/2004,,,,TRUE
239,"Thursday, 11/18/04",PY,11/18/2004,,,,TRUE
240,"Tuesday, 11/23/04",PY,11/23/2004,,,,TRUE
241,"Monday, 11/29/04",PY,11/29/2004,,,,TRUE
242,"Tuesday, 11/30/04",PY,11/30/2004,,,,TRUE
243,December statements w/interest,IN,12/1/2004,,,,FALSE
244,December 2004 Monthly,RD,12/1/2004,11/1/2004,12/1/2004,M,FALSE
245,Seasonal W/S billing,RD,12/1/2004,5/1/2004,12/1/2004,A,FALSE
247,"Friday, 12/3/04",PY,12/3/2004,,,,TRUE
248,"Monday, 12/6/04",PY,12/6/2004,,,,TRUE
249,Annual billing for track at BHS,RD,12/1/2004,12/1/2004,1/6/2005,A,FALSE
250,"Friday, 12/10/04",PY,12/10/2004,,,,TRUE
251,"Monday, 12/13/04",PY,12/13/2004,,,,TRUE
252,"Tuesday, 12/14/04",PY,12/14/2004,,,,TRUE
253,"Wednesday, 12/15/04",PY,12/15/2004,,,,TRUE
254,"Tuesday, 12/21/04",PY,12/21/2004,,,,TRUE
255,"Monday, 1/3/05",PY,1/3/2005,,,,TRUE
256,"January 1, 2005 Monthly",RD,1/1/2005,12/1/2004,1/1/2005,M,FALSE
257,"Tuesday, 1/18/05",PY,1/18/2005,,,,TRUE
258,"Monday, 1/24/05",PY,1/24/2005,,,,TRUE
259,"Thursday, 1/27/05",PY,1/27/2005,,,,TRUE
260,February 2005 Monthly,RD,2/1/2005,1/1/2005,2/1/2005,M,FALSE
261,"Monday, 1/31/05",PY,1/31/2005,,,,TRUE
262,April 2005 Readings,RD,4/1/2005,10/1/2004,4/1/2005,S,FALSE
263,"Wednesday, 2/9/05",PY,2/9/2005,,,,TRUE
264,"Thursday, 2/10/05",PY,2/10/2005,,,,TRUE
265,"Wednesday, 2/16/05",PY,2/16/2005,,,,TRUE
267,"Wednesday, 2/23/05",PY,2/23/2005,,,,TRUE
268,March 2005 Monthly,RD,3/1/2005,2/1/2005,3/1/2005,M,FALSE
271,"Thursday, 3/3/05",PY,3/3/2005,,,,TRUE
273,"Monday, 3/14/05",PY,3/14/2005,,,,TRUE
274,"Wednesday, 3/23/05",PY,3/23/2005,,,,TRUE
275,April 2005 monthly,RD,4/1/2005,3/1/2005,4/1/2005,M,FALSE
276,"Friday, April 1, 2005",PY,4/1/2005,,,,TRUE
277,"Monday, 4/4/05",PY,4/4/2005,,,,TRUE
279,"Tuesday, 4/5/05",PY,4/5/2005,,,,TRUE
280,"Wednesday, 4/6/05",PY,4/6/2005,,,,TRUE
281,"Thursday, 4/7/05",PY,4/7/2005,,,,TRUE
282,"Friday, 4/8/05",PY,4/8/2005,,,,TRUE
283,"Monday, 4/11/05",PY,4/11/2005,,,,TRUE
284,"Tuesday, 4/12/05",PY,4/12/2005,,,,TRUE
285,"Wednesday, 4/13/05",PY,4/13/2005,,,,TRUE
286,"Thursday, 4/14/05",PY,4/14/2005,,,,TRUE
287,"Friday, 4/15/05",PY,4/15/2005,,,,TRUE
288,"Monday, 4/18/05",PY,4/18/2005,,,,TRUE
289,"Tuesday, 4/19/05",PY,4/19/2005,,,,TRUE
290,"Wednesday, 4/20/05",PY,4/20/2005,,,,TRUE
291,"Thursday, 4/21/05",PY,4/21/2005,,,,TRUE
292,"Friday, 4/22/05",PY,4/22/2005,,,,TRUE
293,"Monday, 4/25/05",PY,4/25/2005,,,,TRUE
294,"Tuesday, 4/26/05",PY,4/26/2005,,,,TRUE
295,"Wednesday, 4/27/05",PY,4/27/2005,,,,TRUE
296,"Thursday, 4/28/05",PY,4/28/2005,,,,TRUE
297,"Friday, 4/29/05",PY,4/29/2005,,,,TRUE
298,"Monday, May 2, 2005",PY,5/2/2005,,,,TRUE
299,"Tuesday, 5/3/05",IN,5/1/2005,,,,FALSE
300,May 2005 Monthly,RD,5/1/2005,4/1/2005,5/1/2005,M,FALSE
302,"Wednesday, 5/4/05",PY,5/4/2005,,,,TRUE
304,"Thursday, 5/5/05",PY,5/5/2005,,,,TRUE
305,"Thursday, 5/5/05 2nd batch",PY,5/5/2005,,,,TRUE
306,Annual BHS Track,RD,5/1/2005,12/1/2004,5/1/2005,A,FALSE
307,"Monday, 5/9/05",PY,5/9/2005,,,,TRUE
308,"Wednesday, 5/11/05",PY,5/11/2005,,,,TRUE
309,"Monday, 5/16/05",PY,5/16/2005,,,,TRUE
310,"Wednesday, 5/18/05",PY,5/18/2005,,,,TRUE
311,"Friday, 5/20/05",PY,5/20/2005,,,,TRUE
312,"Tuesday, 5/24/05",PY,5/24/2005,,,,TRUE
313,"Thursday, 5/26/05",PY,5/26/2005,,,,TRUE
314,"Friday, 5/27/05",PY,5/27/2005,,,,TRUE
315,"Tuesday, 5/31/05",PY,5/31/2005,,,,TRUE
316,April 2005 readings/June interest,IN,6/1/2005,,,,FALSE
317,June 2005 Monthly,RD,6/1/2005,5/1/2005,6/1/2005,M,FALSE
320,"Thursday, 6/2/05",PY,6/2/2005,,,,TRUE
321,"Wednesday, 6/8/05",PY,6/8/2005,,,,TRUE
322,"Friday, 6/10/05",PY,6/10/2005,,,,TRUE
324,"Monday, 6/13/05",PY,6/13/2005,,,,TRUE
326,"Monday, 6/20/05",PY,6/20/2005,,,,TRUE
328,"Thursday, 6/30/05",PY,6/30/2005,,,,TRUE
330,July 2005 Monthly,RD,7/1/2005,6/1/2005,7/1/2005,M,FALSE
332,Friday 7/1/05,PY,6/30/2005,,,,TRUE
333,"Friday, 7/1/05",PY,7/1/2005,,,,TRUE
335,"Wednesday, 7/6/05",PY,7/6/2005,,,,TRUE
336,"Thursday, 7/7/05",PY,7/7/2005,,,,TRUE
337,"Friday, 7/8/05",PY,7/8/2005,,,,TRUE
338,"Tuesday, 7/19/05",PY,7/19/2005,,,,TRUE
339,"Thursday, 7/21/05",PY,7/21/2005,,,,TRUE
340,"Monday, 7/25/05",PY,7/25/2005,,,,TRUE
342,October 2005 Readings,RD,10/1/2005,4/1/2005,10/1/2005,S,FALSE
343,"Wednesday, 7/27/05",PY,7/27/2005,,,,TRUE
344,August 2005 monthly,RD,8/1/2005,7/1/2005,8/1/2005,M,FALSE
345,"Tuesday, 8/16/05",PY,8/16/2005,,,,TRUE
346,"Wednesday, 8/17/05",PY,8/17/2005,,,,TRUE
347,"Friday, August 19, 2005",PY,8/19/2005,,,,TRUE
348,"Wednesday, 8/24/05",PY,8/24/2005,,,,TRUE
349,"Thursday, 8/25/05",PY,8/25/2005,,,,TRUE
350,"Friday, 8/26/05",PY,8/26/2005,,,,TRUE
351,September 2005 Monthly,RD,9/1/2005,8/1/2005,9/1/2005,M,FALSE
352,"Thursday, 9/8/05",PY,9/8/2005,,,,TRUE
353,"Tuesday, 9/13/05",PY,9/13/2005,,,,TRUE
354,"Thursday, 9/15/05",PY,9/15/2005,,,,TRUE
357,"Tuesday, 9/27/05",PY,9/27/2005,,,,TRUE
358,October 2005 Monthly,RD,10/1/2005,9/1/2005,10/1/2005,M,FALSE
359,"Monday, 10/3/05",PY,10/3/2005,,,,TRUE
360,"Tuesday, 10/4/05",PY,10/4/2005,,,,TRUE
361,"Wednesday, 10/5/05",PY,10/5/2005,,,,TRUE
362,"Thursday, 10/6/05",PY,10/6/2005,,,,TRUE
363,"Friday, 10/7/05",PY,10/7/2005,,,,TRUE
364,"Tuesday, 10/11/05",PY,10/11/2005,,,,TRUE
365,"Wednesday, 10/12/05",PY,10/12/2005,,,,TRUE
366,"Thursday, 10/13/05",PY,10/13/2005,,,,TRUE
367,"Friday, 10/14/05",PY,10/14/2005,,,,TRUE
368,"Monday, 10/17/05",PY,10/17/2005,,,,TRUE
369,"Tuesday, 10/18/05",PY,10/18/2005,,,,TRUE
370,"Wednesday, 10/19/05",PY,10/19/2005,,,,TRUE
371,"Thursday, 10/20/05",PY,10/20/2005,,,,TRUE
372,"Friday, 10/21/05",PY,10/21/2005,,,,TRUE
373,"Monday, 10/24/05",PY,10/24/2005,,,,TRUE
374,"Tuesday, 10/25/05",PY,10/25/2005,,,,TRUE
375,"Wednesday, 10/26/05",PY,10/26/2005,,,,TRUE
376,"Thursday, 10/27/05",PY,10/27/2005,,,,TRUE
377,"Friday, 10/28/05",PY,10/28/2005,,,,TRUE
378,"Monday, 10/31/05",PY,10/31/2005,,,,TRUE
379,November 2005 Monthly,RD,11/1/2005,10/1/2005,11/1/2005,M,FALSE
380,"Tuesday, 11/01/05",PY,11/1/2005,,,,TRUE
382,Seasonal-Centurelli Field,RD,11/1/2005,5/1/2005,11/1/2005,A,FALSE
383,"Wednesday, 11/2/05",PY,11/2/2005,,,,TRUE
384,"October 1, 2005 readings",IN,11/1/2005,,,,FALSE
387,"Friday, 11/4/05",PY,11/4/2005,,,,TRUE
388,"Monday, 11/7/05",PY,11/7/2005,,,,TRUE
389,"Wednesday, 11/9/05",PY,11/9/2005,,,,TRUE
390,"Thursday, 11/10/05",PY,11/10/2005,,,,TRUE
392,"Monday, 11/14/05",PY,11/14/2005,,,,TRUE
395,"Wednesday, 11/16/05",PY,11/16/2005,,,,TRUE
397,"Thursday, 11/17/05",PY,11/17/2005,,,,TRUE
398,"Tuesday, 11/22/05",PY,11/22/2005,,,,TRUE
399,"Monday, 11/28/05",PY,11/28/2005,,,,TRUE
400,"Tuesday, 11/29/05",PY,11/29/2005,,,,TRUE
401,"Thursday, 12/01/05",PY,12/1/2005,,,,TRUE
402,December 2005 Monthly Readings,RD,12/1/2005,11/1/2005,12/1/2005,M,FALSE
403,December Interest/Oct. 05 W/S,IN,12/1/2005,,,,FALSE
405,"Monday, 12/5/05",PY,12/5/2005,,,,TRUE
410,"Wednesday, 12/7/05",PY,12/7/2005,,,,TRUE
411,"Mionday, 12/12/05",PY,12/12/2005,,,,TRUE
413,"Monday, 12/12/05 #2",PY,12/12/2005,,,,TRUE
414,"Tuesday, 12/13/05",PY,12/13/2005,,,,TRUE
415,"Wednesday, 12/14/05",PY,12/14/2005,,,,TRUE
416,"Monday, 12/19/05",PY,12/19/2005,,,,TRUE
417,"Thursday, 12/22/05",PY,12/22/2005,,,,TRUE
419,"Thursday, 12/29/05",PY,12/29/2005,,,,TRUE
420,January 2006 Monthly,RD,1/1/2006,12/1/2005,1/1/2006,M,FALSE
421,"Tuesday, 1/10/06",PY,1/10/2006,,,,TRUE
422,"Tuesday, 1/17/06",PY,1/17/2006,,,,TRUE
423,"Tuesday, 1/24/06",PY,1/24/2006,,,,TRUE
424,April 2006 Readings,RD,4/1/2006,10/1/2005,4/1/2006,S,FALSE
425,February 2006 Monthly,RD,2/1/2006,1/1/2006,2/1/2006,M,FALSE
426,"Wednesday, 2/1/06",PY,2/1/2006,,,,TRUE
428,"Monday, 2/13/06",PY,2/13/2006,,,,TRUE
429,"Wednesday, 2/15/06",PY,2/15/2006,,,,TRUE
430,"Tuesday, 2/28/06",PY,2/28/2006,,,,TRUE
432,March 2006 Monthly,RD,3/1/2006,2/1/2006,3/1/2006,M,FALSE
433,"Wednesday, 3/8/06",PY,3/8/2006,,,,TRUE
436,"Tuesday, 3/14/06",PY,3/14/2006,,,,TRUE
437,"Tuesday, 3/21/06",PY,3/21/2006,,,,TRUE
438,"Thursday, 3/30/06",PY,3/30/2006,,,,TRUE
439,April 2006 Monthly,RD,4/1/2006,3/1/2006,4/1/2006,M,FALSE
440,"Monday, 4/3/06",PY,4/3/2006,,,,TRUE
441,"Tuesday, 4/4/06",PY,4/4/2006,,,,TRUE
442,"Wednesday, 4/5/06",PY,4/5/2006,,,,TRUE
443,"Thursday, 4/6/06",PY,4/6/2006,,,,TRUE
444,"Friday, 4/7/06",PY,4/7/2006,,,,TRUE
445,"
onday, 4/10/06",PY,4/10/2006,,,,TRUE
446,"Tuesday, 4/11/06",PY,4/11/2006,,,,TRUE
447,"Wednesday, 4/12/06",PY,4/12/2006,,,,TRUE
448,"Thursday, 4/13/06",PY,4/13/2006,,,,TRUE
449,"Monday, 4/17/06",PY,4/17/2006,,,,TRUE
450,"Tuesday, 4/18/06",PY,4/18/2006,,,,TRUE
451,"Wednesday, 4/19/06",PY,4/19/2006,,,,TRUE
452,"Thursday, 4/20/06",PY,4/20/2006,,,,TRUE
453,"Friday, 4/21/06",PY,4/21/2006,,,,TRUE
454,"Monday, 4/24/06",PY,4/24/2006,,,,TRUE
455,"Tuesday, 4/25/06",PY,4/25/2006,,,,TRUE
456,"Wednesday, 4/26/07",PY,4/26/2006,,,,TRUE
457,"Thursday, 4/27/06",PY,4/27/2006,,,,TRUE
458,Friday. 4/28/06,PY,4/28/2006,,,,TRUE
459,"Monday, 5/1/06",PY,5/1/2006,,,,TRUE
461,May 2006 Monthly,RD,5/1/2006,4/1/2006,5/1/2006,M,FALSE
462,"Tuesday, 5/2/06",PY,5/2/2006,,,,TRUE
463,"Wednesday, 5/3/06",PY,5/3/2006,,,,TRUE
464,May 2006 interest,IN,5/1/2006,,,,FALSE
466,"Thursday, 5/4/06",PY,5/4/2006,,,,TRUE
468,"Monday, 5/8/06",PY,5/8/2006,,,,TRUE
469,"Tuesday, 5/9/06",PY,5/9/2006,,,,TRUE
470,"Wednesday, 5/10/06",PY,5/10/2006,,,,TRUE
471,"Thursday, 5/11/06",PY,5/11/2006,,,,TRUE
472,"Monday, 5/15/06",PY,5/15/2006,,,,TRUE
473,"Wednesday, 5/17/06",PY,5/17/2006,,,,TRUE
474,"Thursday, 5/18/06",PY,5/18/2006,,,,TRUE
475,"Wednesday, 5/24/06",PY,5/24/2006,,,,TRUE
478,"Friday, 5/26/06",PY,5/26/2006,,,,TRUE
479,"Tuesday, 5/30/06",PY,5/30/2006,,,,TRUE
480,June 2006 Monthly,RD,6/1/2006,5/1/2006,6/1/2006,M,FALSE
481,"Thursday, 6/1/06",PY,6/1/2006,,,,TRUE
482,June 2006 Int.,IN,6/1/2006,,,,FALSE
483,"Tuesday, 6/6/06",PY,6/6/2006,,,,TRUE
484,"Wednesday, 6/7/06",PY,6/7/2006,,,,TRUE
485,"Thursday, 6/8/06",PY,6/8/2006,,,,TRUE
486,"Friday, 6/9/06",PY,6/9/2006,,,,TRUE
487,"Monday, 6/12/06",PY,6/12/2006,,,,TRUE
488,"Tuesday, 6/13/06",PY,6/13/2006,,,,TRUE
489,"Wednesday, 6/14/06",PY,6/14/2006,,,,TRUE
490,"Tuesday, 6/20/06",PY,6/20/2006,,,,TRUE
491,"Thursday, 6/22/06",PY,6/22/2006,,,,TRUE
492,"Tuesday, 6/27/06",PY,6/27/2006,,,,TRUE
493,"Friday, 6/30/06",PY,6/30/2006,,,,TRUE
494,July 2006 Monthly,RD,7/1/2006,6/1/2006,7/1/2006,M,FALSE
495,"Thursday, 7/6/06",PY,7/6/2006,,,,TRUE
496,"Monday, 7/10/06",PY,7/10/2006,,,,TRUE
498,"Tuesday, 7/11/06",PY,7/11/2006,,,,TRUE
499,"Friday, 7/14/06",PY,7/14/2006,,,,TRUE
