LocationID,CustomerID,LocationType,StreetCode,StreetNumber,StreetNumberSuffix,LocationStatus,Service,BillingFreq,MeterFeeCode,MeterLocation,BuildingType,TypeOfService,HazardLevel,LastInspectDate,FireLine,FireLineSize,LienIndicator,TestComments,OldAcct,Warning,MIU_ID,Record_Status,Multiplier,Read_Direction,Decimal_Location,Record_Type,Number_Of_Dials,Route_No,Page_No,Read_Seq
70,1949,1,190,12,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190001200,,1461962204,Z,1,L,0,EU,6,2,2060,00
71,2032,1,190,19,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190001900,,1481912636,Z,1,L,0,EU,6,2,2070,00
72,72,1,190,26,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190002600,,1462093098,Z,1,L,0,EU,6,2,2080,00
73,2338,1,190,29,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190002900,,1461958904,Z,1,L,0,EU,6,2,2090,00
74,74,1,190,36,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190003600,,1461900858,Z,1,L,0,EU,6,2,2100,00
75,75,1,190,45,0,A,B,Q,1,right,dwelling,,,,N,,N,,1190004500,,1461967244,Z,1,L,0,EU,6,2,2110,00
76,76,1,190,46,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190004600,,1461961358,Z,1,L,0,EU,6,2,2120,00
77,1973,1,190,58,0,A,B,Q,1,left,dwelling,,,,N,,N,,1190005800,,1461484384,Z,1,L,0,EU,6,2,2130,00
78,78,1,190,63,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190006300,,1461763222,Z,1,L,0,EU,6,2,2140,00
79,1667,1,190,66,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190006600,,1461926430,Z,1,L,0,EU,6,2,2150,00
80,80,1,190,96,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190009600,,1461978558,Z,1,L,0,EU,6,2,2160,00
81,81,1,190,97,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190009700,,1461985114,Z,1,L,0,EU,6,2,2170,00
82,82,1,190,106,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190010600,,1461962386,Z,1,L,0,EU,6,2,2180,00
83,2084,1,190,117,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190011700,,1461509654,Z,1,L,0,EU,6,2,2190,00
84,84,1,190,120,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190012000,,1461961362,Z,1,L,0,EU,6,2,2200,00
85,85,1,190,127,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190012700,,1461928038,Z,1,L,0,EU,6,2,2210,00
86,86,1,190,134,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190013400,,1461993386,Z,1,L,0,EU,6,2,2220,00
87,1595,1,190,137,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190013700,,1461965002,Z,1,L,0,EU,6,2,2230,00
88,2107,1,190,147,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190014700,,1461967240,Z,1,L,0,EU,6,2,2240,00
89,89,1,190,157,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190015700,,1461967242,Z,1,L,0,EU,6,2,2250,00
90,90,1,190,160,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190016000,,1461926432,Z,1,L,0,EU,6,2,2260,00
91,91,1,190,165,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190016500,,1461956354,Z,1,L,0,EU,6,2,2270,00
92,2182,1,190,170,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190017000,,1461971942,Z,1,L,0,EU,6,2,2280,00
93,93,1,190,175,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190017500,,1462007540,Z,1,L,0,EU,6,2,2290,00
94,94,1,190,183,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190018300,,1461971712,Z,1,L,0,EU,6,2,2300,00
95,95,1,190,189,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190018900,,1548126942,Z,1,L,0,EU,6,2,2310,00
96,96,1,190,192,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190019200,,1461971944,Z,1,L,0,EU,6,2,2320,00
97,97,1,190,197,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190019700,,1461920610,Z,1,L,0,EU,6,2,2330,00
98,1391,1,190,206,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190020600,,1461967238,Z,1,L,0,EU,6,2,2340,00
99,1963,1,190,209,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190020900,,1461958906,Z,1,L,0,EU,6,2,2350,00
100,1570,1,190,214,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190021400,,1461963990,Z,1,L,0,EU,6,2,2360,00
101,101,1,190,217,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190021700,,1461958908,Z,1,L,0,EU,6,2,2370,00
102,102,1,190,226,0,A,B,Q,1,left,dwelling,,,,N,,N,,1190022600,,1461916170,Z,1,L,0,EU,6,2,2380,00
103,1712,1,190,227,0,A,B,Q,1,left,dwelling,,,,N,,N,,1190022700,,1461928040,Z,1,L,0,EU,6,2,2390,00
104,2053,1,190,235,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190023500,,1461566532,Z,1,L,0,EU,6,2,2400,00
105,1952,1,190,243,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190024300,,1480544842,Z,1,L,0,EU,6,2,2410,00
106,1416,1,190,250,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190025000,,1461949516,Z,1,L,0,EU,6,2,2420,00
107,1853,1,190,251,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190025100,,1461965142,Z,1,L,0,EU,6,2,2430,00
108,1991,1,190,261,0,A,B,Q,1,front left,,,,,N,,N,,1190026100,,1461484382,Z,1,L,0,EU,6,2,2440,00
109,109,1,190,262,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190026200,,1461954226,Z,1,L,0,EU,6,2,2450,00
110,110,1,190,269,0,A,B,Q,1,left on deck,dwelling,,,,N,,N,,1190026900,,1462007498,Z,1,L,0,EU,6,2,2460,00
111,111,1,190,276,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190027600,,1462010448,Z,1,L,0,EU,6,2,2470,00
112,112,1,190,279,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190027900,,1461964542,Z,1,L,0,EU,6,2,2480,00
113,2096,1,190,288,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190028800,,1461955704,Z,1,L,0,EU,6,2,2490,00
114,114,1,190,289,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190028900,,1461973326,Z,1,L,0,EU,6,2,2500,00
115,115,1,190,298,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190029800,,1461949438,Z,1,L,0,EU,6,2,2510,00
116,2306,1,190,301,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190030100,,1461509658,Z,1,L,0,EU,6,2,2520,00
117,2279,1,190,306,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190030600,,1461687336,Z,1,L,0,EU,6,2,2530,00
118,118,1,190,313,0,A,B,Q,2,front left,dwelling,,,,N,,N,,1190031300,,1461923786,Z,1,L,0,EU,6,2,2540,00
119,119,1,190,316,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190031600,,1461973332,Z,1,L,0,EU,6,2,2550,00
120,2328,1,190,323,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190032300,,1462038264,Z,1,L,0,EU,6,2,2560,00
121,2125,1,190,326,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190032600,,1462037858,Z,1,L,0,EU,6,2,2570,00
122,122,1,190,329,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190032900,,1461931268,Z,1,L,0,EU,6,2,2580,00
123,123,1,190,339,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1190033900,,1461958226,Z,1,L,0,EU,6,2,2590,00
124,124,1,190,349,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1190034900,,1461949514,Z,1,L,0,EU,6,2,2600,00
125,125,1,199,8,0,A,B,Q,1,front right,dwellling,,,,N,,N,,1199000800,,1461942346,Z,1,L,0,EU,6,2,1870,00
126,126,1,199,21,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1199002100,,1462013462,Z,1,L,0,EU,6,2,1880,00
127,127,1,199,22,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1199002200,,1461971466,Z,1,L,0,EU,6,2,1890,00
128,128,1,199,29,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1199002900,,1462043464,Z,1,L,0,EU,6,2,1900,00
129,129,1,199,32,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1199003200,,1461960758,Z,1,L,0,EU,6,2,1910,00
130,1260,1,199,40,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1199004000,,1461965770,Z,1,L,0,EU,6,2,1920,00
131,2329,1,199,48,0,A,B,Q,1,right front,dwelling,,,,N,,N,,1199004800,,1461960762,Z,1,L,0,EU,6,2,1930,00
132,2111,1,199,62,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1199006200,,1461960764,Z,1,L,0,EU,6,2,1940,00
133,1227,1,199,70,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1199007000,,1461962202,Z,1,L,0,EU,6,2,1950,00
134,134,1,199,77,0,A,B,Q,1,right,dwelling,,,,N,,N,,1199007700,,1461994792,Z,1,L,0,EU,6,2,1960,00
135,135,1,199,80,0,A,B,Q,1,left,dwelling,,,,N,,N,,1199008000,,1461917086,Z,1,L,0,EU,6,2,1970,00
136,136,1,199,90,0,A,B,Q,1,left,dwelling,,,,N,,N,,1199009000,,1461944566,Z,1,L,0,EU,6,2,1980,00
137,137,1,199,97,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1199009700,,1461891482,Z,1,L,0,EU,6,2,1990,00
138,138,1,199,100,0,A,B,Q,1,right,dwelling,,,,N,,N,,1199010000,,1461937406,Z,1,L,0,EU,6,2,2000,00
139,139,1,199,113,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1199011300,,1462013464,Z,1,L,0,EU,6,2,2010,00
140,140,1,199,114,0,A,B,Q,1,left,dwelling,,,,N,,N,,1199011400,,1548161950,Z,1,L,0,EU,6,2,2020,00
141,2129,1,199,124,0,A,B,Q,1,left front,dwelling,,,,N,,N,,1199012400,,1461937412,Z,1,L,0,EU,6,2,2030,00
142,142,1,199,135,0,A,B,Q,1,left front,dwelling,,,,N,,N,,1199013500,,1462040428,Z,1,L,0,EU,6,2,2040,00
143,1846,1,199,136,0,A,B,Q,1,left front,dwelling,,,,N,,N,,1199013600,,1462013468,Z,1,L,0,EU,6,2,2050,00
144,144,1,200,16,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1200001600,,1480545300,Z,1,L,0,EU,6,1,1400,00
145,145,1,200,26,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1200002600,,1461878266,Z,1,L,0,EU,6,1,1410,00
146,2241,1,200,27,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1200002700,,1461905252,Z,1,L,0,EU,6,1,1420,00
147,2122,1,200,35,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1200003500,,1540891048,Z,1,L,0,EU,6,1,1430,00
148,148,1,200,36,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1200003600,,1481915594,Z,1,L,0,EU,6,1,1440,00
149,2018,1,200,45,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1200004500,,1461883016,Z,1,L,0,EU,6,1,1450,00
150,150,1,200,46,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1200004600,,1461908572,Z,1,L,0,EU,6,1,1460,00
151,151,1,200,55,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1200005500,,1461914114,Z,1,L,0,EU,6,1,1470,00
152,1382,1,200,56,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1200005600,,1461898336,Z,1,L,0,EU,6,1,1480,00
153,1996,1,200,63,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1200006300,,1461877450,Z,1,L,0,EU,6,1,1490,00
154,1810,1,200,66,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1200006600,,1461901980,Z,1,L,0,EU,6,1,1500,00
155,155,1,200,76,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1200007600,,1461880502,Z,1,L,0,EU,6,1,1510,00
156,156,1,200,77,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1200007700,,1461918188,Z,1,L,0,EU,6,1,1520,00
157,1462,1,248,1076,0,A,W,Q,1,right,dwelling,,,,N,,N,,1248107600,,1540901894,Z,1,L,0,EU,6,4,280,00
158,158,1,248,1104,0,A,B,Q,1,CELLAR,,,,,N,,N,,1248110400,,1462106202,Z,1,L,0,EU,6,4,360,00
159,1339,1,248,1160,0,I,B,Q,1,brick building,dwelling,,,,N,,N,,1248116000,,,A,1,L,0,EU,6,,,00
160,1470,1,248,1176,0,I,W,Q,1,left,dwelling,,,,N,,N,,1248117600,,,A,1,L,0,EU,6,,,00
161,1469,1,248,1184,0,I,B,Q,1,left corner,dwelling,,,,N,,N,,1248118400,,,A,1,L,0,EU,6,,,00
162,162,1,248,1208,0,A,B,Q,1,left,dwelling,,,,N,,N,,1248120800,,1461897058,Z,1,L,0,EU,6,4,530,00
163,163,1,248,1208,1,A,B,Q,1,Rear,dwelling,,,,N,,N,,1248120801,,1461873136,Z,1,L,0,EU,6,4,540,00
164,164,1,248,1230,0,A,B,Q,1,right,dwelling,,,,N,,N,,1248123000,,1461905236,Z,1,L,0,EU,6,4,560,00
165,1993,1,248,1252,0,I,B,Q,1,right,dwelling,,,,N,,N,,1248125200,,1461912774,Z,1,L,0,EU,6,4,610,00
166,166,1,248,1260,0,A,B,Q,1,,house front,,,,N,,N,,1248126000,,1461875050,Z,1,L,0,EU,6,4,630,00
167,167,1,248,1342,0,A,B,Q,1,front,dwelling,,,,N,,N,,1248134200,,1462089282,Z,1,L,0,EU,6,4,650,00
168,2198,1,248,1348,0,A,B,Q,1,,dwelling,,,,N,,N,,1248134800,,1462073704,Z,1,L,0,EU,6,4,660,00
169,2123,1,248,1356,0,A,B,Q,1,,dwelling,,,,N,,N,,1248135600,,1461914770,Z,1,L,0,EU,6,4,670,00
170,1438,1,248,1366,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1248136600,,1462073706,Z,1,L,0,EU,6,4,680,00
171,1279,1,248,1367,0,A,B,Q,1,back by deck,dwelling,,,,N,,N,,1248136700,,1461877850,Z,1,L,0,EU,6,4,690,00
172,1523,1,248,1372,0,A,B,Q,1,left,dwelling,,,,N,,N,,1248137200,,1462106204,Z,1,L,0,EU,6,4,700,00
173,173,1,248,1375,0,A,B,Q,1,left back,dwelling,,,,N,,N,,1248137500,,1461884874,Z,1,L,0,EU,6,4,710,00
174,2227,1,248,1378,0,A,B,Q,1,,dwelling,,,,N,,N,,1248137800,,1482364978,Z,1,L,0,EU,6,4,720,00
175,175,1,248,1385,0,A,B,Q,1,left front,dwelling,,,,N,,N,,1248138500,,1461912780,Z,1,L,0,EU,6,4,730,00
176,2228,1,248,1386,0,A,B,Q,1,front,dwelling,,,,N,,N,,1248138600,,1462089824,Z,1,L,0,EU,6,4,740,00
177,1938,1,248,1393,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1248139300,,1461873262,Z,1,L,0,EU,6,4,750,00
178,2045,1,248,1394,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1248139400,,1461901758,Z,1,L,0,EU,6,4,760,00
179,1674,1,248,1401,0,A,B,Q,1,right,dwelling,,,,N,,N,,1248140100,,1461877032,Z,1,L,0,EU,6,4,770,00
180,180,1,248,1402,0,A,B,Q,1,left,dwelling,,,,N,,N,,1248140200,,1461899532,Z,1,L,0,EU,6,4,780,00
181,181,1,248,1408,0,A,B,Q,1,left,dwelling,,,,N,,N,,1248140800,,1461884870,Z,1,L,0,EU,6,4,790,00
182,182,1,248,1416,0,A,B,Q,1,left,dwelling,,,,N,,N,,1248141600,,1461893300,Z,1,L,0,EU,6,4,800,00
183,2135,1,248,1424,0,A,B,Q,1,right,dwelling,,,,N,,N,,1248142400,,1461904664,Z,1,L,0,EU,6,4,810,00
184,1568,1,248,1443,0,A,B,Q,1,right,dwelling,,,,N,,N,,1248144300,,1461899286,Z,1,L,0,EU,6,4,830,00
185,2276,1,248,1449,0,A,B,Q,1,left,dwelling,,,,N,,N,,1248144900,,1461873438,Z,1,L,0,EU,6,4,840,00
186,186,1,248,1452,0,A,B,Q,1,right,dwelling,,,,N,,N,,1248145200,,1461873392,Z,1,L,0,EU,6,4,850,00
187,1517,1,248,1455,0,A,B,Q,1,left,dwelling,,,,N,,N,,1248145500,,1462089226,Z,1,L,0,EU,6,4,860,00
188,1917,1,248,1462,0,A,B,Q,1,front,dwelling,,,,N,,N,,1248146200,,1461875048,Z,1,L,0,EU,6,4,870,00
189,2112,1,248,1463,0,A,B,Q,1,left,dwelling,,,,N,,N,,1248146300,,1461873432,Z,1,L,0,EU,6,4,880,00
190,2099,1,248,1473,0,A,B,Q,1,left,dwelling,,,,N,,Y,,1248147300,,1461914768,Z,1,L,0,EU,6,4,890,00
191,191,1,248,1485,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1248148500,,1462099514,Z,1,L,0,EU,6,4,900,00
192,192,1,248,1502,0,A,B,Q,1,front,dwelling,,,,N,,N,,1248150200,,1461906184,Z,1,L,0,EU,6,4,910,00
