"BANK","TX  ","OLDBK","DESC                                ","BADDR                           ","B2ADDR                          ","BCITYST                         ","CONTACT                       ","PHONE           " 
"065","102 ","    ","UNION SAVINGS BANK                  ","ATTN: TAX ESCROW DEPARTMENT     ","PO BOX 526                      ","DANBURY  CT  06813              ","                              ","                " 
"066","    ","    ","360 FEDERAL CREDIT UNION            ","PO BOX 273                      ","                                ","WINDSOR LOCKS  CT  06096        ","                              ","                " 
"067","    ","    ","CHELSEA GROTON BANK                 ","904 POQUONNOCK ROAD             ","PO BOX 869                      ","GROTON  CT 06340                ","                              ","860-448-4100    " 
"068","    ","    ","ION BANK                            ","1430 NEW HAVEN ROAD             ","PO BOX 370                      ","NAUGATUCK  CT  06770            ","SUSAN PRONOVOST               ","203-720-5371    " 
"069","102 ","    ","UNITED BANK                         ","855 ENFIELD STREET              ","                                ","ENFIELD CT 06082                ","JASON CARR                    ","860-512-2487    " 
"070","    ","    ","GUILFORD SAVINGS BANK               ","ONE PARK STREET                 ","PO BOX 369                      ","GUILFORD CT  06437              ","                              ","                " 
"071","101 ","    ","FAIRFIELD COUNTY BANK               ","150 DANBURY ROAD                ","                                ","RIDGEFIELD CT  06877            ","                              ","                " 
"072","101 ","    ","SIKORSKY CREDIT UNION               ","1000 ORONOQUE LANE              ","                                ","STRATFORD CT 06614              ","                              ","203-377-2252    " 
"073","    ","    ","AMERICAS FIRST NETWORK CREDIT UNION ","92 PITKIN ST                    ","                                ","EAST HARTFORD CT 06108          ","860-291-0345                  ","                " 
"074","    ","    ","CONNEX CREDIT UNION                 ","PO BOX 477                      ","ATTN MORTGAGE DEPT              ","NORTH HAVEN CT 06473            ","CAROLYN MINICUCCI X 2015      ","203-603-5700    " 
"075","    ","    ","AVON 46                             ","PO BOX 4438                     ","                                ","NEW YORK NY 10163               ","                              ","                " 
"099","    ","    ","NOT DEFFERED                        ","                                ","                                ","                                ","                              ","                " 
"101","101 ","    ","CORELOGIC                           ","1 FIRST AMERICAN WAY            ","ESCROW REPORTING                ","WESTLAKE  TX  76262             ","                              ","800-969-8787    " 
"102","102 ","    ","LERETA LLC                          ","TAX DISBERSMENT TEAM            ","1123 SOUTH PARKVIEW DRIVE       ","COVINA CA  91724                ","CUSTOMER CARE                 ","888-534-5283    " 
"105","    ","    ","                                    ","                                ","                                ","                                ","                              ","                " 
"106","106 ","    ","LPS PROPERTY TAX SOL                ","TAX BILL PROCESSING             ","3100 NEW YORK DR ST#100         ","PASADENA CA  91107              ","BRUCE JOHNSON                 ","877-791-4948    " 
"107","107 ","    ","WELLS FARGO RE TAX SERVICES         ","MAC X2302-04D                   ","ONE HOME CAMPUS                 ","DES MOINES IA 50328             ","                              ","18004994829     " 
"111","101 ","    ","CL TAX SERV-COMMERCIAL              ","1 CORELOGIC DRIVE               ","                                ","WESTLAKE  TX  76262             ","ZABRINA HOOD                  ","817-699-8003    " 
"209","101 ","    ","ASTORIA FEDERAL SAVINGS             ","2000 MARCUS AVENUE              ","                                ","LAKE SUCCESS NY 11042           ","PEGGY HARTWICK                ","516-535-8535    " 
"213","101 ","    ","BANK OF AMERICA                     ","C/O HOME FOCUS                  ","6053 S FASHION SQUARE DR,ST#200 ","MURRAY UT  84107                ","VICKI JUNIEWICZ               ","1-800-899-7160  " 
"223","101 ","    ","PHH MORTGAGE                        ","95 METHODIST HILL DRIVE         ","SUTIE 400                       ","ROCHESTER NY 14623              ","SANDRA PARRISH                ","585-321-0918    " 
"224","101 ","    ","CENTRAL LOAN ADMINISTRATION         ","150 CIVIC CENTER DR             ","STE 500                         ","SANDY  UT  84070                ","KATHLEEN SINISGALLI           ","801-284-4600    " 
"229","101 ","    ","CITIZENS ONE HOME LOANS             ","FKA: CCO MORTGAGE CORP          ","                                ","                                ","                              ","                " 
"230","101 ","    ","CHASE                               ","1 CORELOGIC DRIVE               ","                                ","WESTLAKE  TX 76262              ","KATHERINE PFEIL               ","817-699-3016    " 
"231","101 ","    ","CAPITAL ONE, N.A.                   ","fka: Chevy Chase Federal        ","1 CORELOGIC DRIVE               ","WESTLAKE  TX  76262             ","BARBARA HOLBERT               ","817-699-2916    " 
"234","497 ","    ","AMERICAN MORTGAGE SERVICING         ","                                ","                                ","                                ","                              ","                " 
"237","101 ","    ","BANK OF AMERICA                     ","                                ","2380 PERFORMANCE DR BLDG C      ","RICHARDSON, TX                  ","                              ","                " 
"245","101 ","    ","DOVENMUEHLE MORTGAGE INC            ","95 METHODIST HILL DRIVE         ","                                ","ROCHESTER  NY  14623            ","MARY DENNER                   ","585-321-6635    " 
"246","101 ","    ","EMIGRANT MORTGAGE COMPANY           ","5 EAST 42ND STREET              ","FLOOR 7                         ","NEW YORK NY 10017               ","MICHAEL SHEAHAN               ","212-850-4948    " 
"248","101 ","    ","FIDELITY BANK                       ","100 EAST ENGLISH                ","BOX 1007                        ","WICHITA KS 067201               ","CINDY HESSLER                 ","316-268-7378    " 
"249","101 ","    ","FIFTH THIRD BANK                    ","1 CORELOGIC DRIVE               ","                                ","WESTLAKE  TX  76262             ","KEN STILES                    ","817-699-3324    " 
"254","101 ","    ","FLAGSTAR BANK                       ","1 CORELOGIC WAY                 ","                                ","WESTLAKE, TX  76262             ","CEDRIC                        ","817-699-5743    " 
"255","101 ","    ","CHASE                               ","fka:  washington mutual         ","1 CORELOGIC DRIVE               ","WESTLAKE  TX  76262             ","MIKE MCKINNEY                 ","817-699-3016    " 
"259","101 ","    ","GMAC MORTGAGE CORPORATION           ","1 FIRST AMERICAN WAY            ","                                ","WESTLAKE  TX  76262             ","DARLENE SMITH                 ","817-699-2886    " 
"261","101 ","    ","HSBC/INSOURCED PORTFOLIO OPERATIONS ","2929 WALDEN AVE                 ","                                ","DEPEW  NY 14043                 ","TINA GAWRONSKI                ","716-651-1497    " 
"262","101 ","    ","HSBC - 1ST MORTGAGE                 ","1 CORELOGIC DRIVE               ","                                ","WESTLAKE  TX  76262             ","TAMMY SALTER                  ","817-699-2704    " 
"263","101 ","    ","GMAC (BRANDED)                      ","fka: HOMECOMING FINANCIAL       ","                                ","WESTLAKE TX  76262              ","DARLENE SMITH                 ","817-699-2886    " 
"266","101 ","    ","HUNTINGTON MORTGAGE CORPORATION     ","95 METHODIST DRIVE              ","                                ","ROCHESTER  NY  14623            ","MARY DENNER                   ","585-321-6635    " 
"267","101 ","    ","JAMES B NUTTER AND COMPANY          ","4026 CENTRAL                    ","                                ","KANSAS CITY MO 64111            ","VALERIE ROACH                 ","18008869632     " 
"275","101 ","    ","M & T BANK                          ","95 METHODIST HILL DRIVE         ","                                ","ROCHESTER  NY 14623             ","KELLI PEIFER                  ","585-321-6626    " 
"278","101 ","    ","ENVISION BANK                       ","10 CABOT PLACE                  ","LOAN SERVICING                  ","STOUGHTON MA 02072              ","LOAN SERIVCING                ","781-573-1384    " 
"279","101 ","    ","SN SERVICING CORP                   ","323 FIFTH ST                    ","ESCROW DEPARTMENT               ","EUREKA CA 95501                 ","                              ","                " 
"280","101 ","    ","RESI CAP                            ","3630 PEACHTREE RD NE STE 1500   ","MIKE STOCK                      ","ATLANTA GA 30326                ","MIKE STOCK                    ","404-382-7327    " 
"281","101 ","    ","BSI FINANCIAL SERVICES              ","314 S. FRANKLIN ST              ","CARRIE GRAMS                    ","TITUSVILLE PA 16354             ","CARRIE GRAMS                  ","814-827-4661    " 
"282","101 ","    ","SERVICE MAC LLC                     ","95 METHODIST HILL DR            ","                                ","ROCHESTER NY 14623              ","                              ","                " 
"283","    ","    ","DOLLAR BANK SERV CNTR-AKA MORTG SERV","AKA:  MORTGAGE SERVICE CENTER   ","PO BOX 8469                     ","CANTON  OH  44711               ","CONNIE HELSON                 ","330-455-5600    " 
"284","101 ","    ","PNC MORTGAGE                        ","fka: NATIONAL CITY MORTGAGE     ","3232 NEWMARK DRIVE              ","MIAMISBURG  OH  45343           ","WENDY WHETSTONE               ","937-910-3669    " 
"285","101 ","    ","ARVEST CENTRAL MORTGAGE COMPANY     ","801 JOHN BARROW RD              ","LISA LOUDERMILK                 ","LITTLE ROCK AR 72205            ","                              ","                " 
"286","101 ","    ","UNITED SHORE                        ","585 SOUTH BLVD EAST             ","                                ","PONTIAC MI 48341                ","                              ","                " 
"287","101 ","    ","NAVY FEDERAL                        ","820 FOLLIN LANE                 ","                                ","VIENNA VA 22180                 ","LASHELL JAMES                 ","703-206-4391    " 
"288","101 ","    ","PNC                                 ","3001 HACKBERRY RD               ","                                ","IRVING TX 75063                 ","                              ","                " 
"289","101 ","    ","REGIONS MORTGAGE                    ","95 METHODIST HILL DR STE 100    ","KRISTINA GOODWIN                ","ROCHESTER NY 14623              ","KRISTINA GOODWIN              ","585-321-6622    " 
"290","101 ","    ","OCWEN LOAN SERVICING, LLC           ","1661 WORTHINGTON ROAD           ","STE 100                         ","WEST PALM BEACH  FL  33409      ","MATTHEW KUNKLEMAN             ","561-682-8110    " 
"291","101 ","    ","NEW YORK COMMUNITY BANK - OHIO      ","Formally Ohio Savings Bank      ","1 CORELOGIC DRIVE               ","WESTLAKE  TX  76262             ","JASON BENAVIDEZ               ","817-699-2666    " 
"292","101 ","    ","BAYCOAST BANK                       ","330 SWANSEA MALL DR             ","ATTN DEBRA CLYNES               ","SWANSEA MA 02777                ","DEBRA CLYNES                  ","508-675-4327    " 
"293","    ","    ","OPTION ONE MORTGAGE CORPORATION     ","PO BOX 13922                    ","                                ","DURHAM  NC  27709               ","                              ","877-283-0046    " 
"294","101 ","    ","UNIBANK FOR SAVINGS                 ","49 CHURCH ST                    ","ATTN KERI NASIF                 ","WHITINSVILLE MA 01588           ","KERI NASIF EXR 1055           ","508-234-8112    " 
"295","101 ","    ","UNION HOME MORTGAGE                 ","6444 MONROE ST                  ","ATTN ANDREA BAER                ","SYLVANIA OH 43560               ","ANDREA BAER                   ","800-441-3456    " 
"305","101 ","    ","CITIMORTGAGE INC                    ","95 METHODIST HILL DRIVE         ","SUITE 100                       ","ROCHESTER NY 14623              ","ROCHESTER OUTSOURCING         ","585-321-6627    " 
"306","101 ","    ","SANTANDER BANK, N.A.                ","CORELOGIC TAX SERVICE           ","                                ","                                ","CAREY SHEPARD                 ","800-969-8787    " 
"309","101 ","    ","NUTMEG STATE FCU                    ","                                ","                                ","                                ","                              ","                " 
"310","101 ","    ","LOAN DEPOT                          ","3001 HACKBERRY RD               ","                                ","IRVING TX 75063                 ","JESSE LANGSTRETH              ","949-575-5541    " 
"312","101 ","    ","TOTAL MORTGAGE SOLUTIONS LP         ","1555 W WALNUT HILL LN           ","#200A                           ","IRVING  TX 75038                ","STEPHANIE BENNETT             ","972-582-5939    " 
"313","    ","    ","ULSTER SAVINGS BANK                 ","P O BOX 3337                    ","                                ","KINGSTON NY 12402               ","JANET KOZMA                   ","860-440-0391    " 
"315","101 ","    ","WEBSTER BANK                        ","MULTIPLE ADDRESSES              ","                                ","                                ","                              ","801-284-4600    " 
"323","    ","    ","BLACK KNIGHT FINANCIAL              ","                                ","                                ","                                ","                              ","516-862-4527    " 
"329","102 ","    ","BSI FINANCIAL                       ","314 S FRANKLIN STREET           ","                                ","TITUSVILLE PA 16354             ","MONICA SAWATSKY               ","814-827-4661    " 
"330","    ","    ","COVIUS MORTGAGE SOLUTIONS           ","12410 E MIRABEAU PKWY           ","SUITE 100                       ","SPOKANE VALLEY WA 99216         ","abigail.clark@covius.com      ","509-327-634     " 
"331","102 ","    ","AMIP MANAGEMENT                     ","                                ","                                ","                                ","                              ","                " 
"333","101 ","    ","VALLEY NATIONAL BANK                ","                                ","                                ","                                ","                              ","                " 
"335","101 ","    ","PENTAGON FEDERAL CREDIT UNION       ","1001 NORTH FAIRFAX STREET       ","                                ","ALEXANDRIA VA 22314             ","KIMBERLY DIEDE                ","703-838-1320    " 
"338","101 ","    ","ABN AMRO MORTGAGE GROUP INC         ","ATTN:  CAROL PITZER             ","4242 N HARLEM AVE               ","NORRIDGE IL 60706               ","CAROL PITZER                  ","708-583-7760    " 
"339","101 ","    ","BANK OF W MA - RE                   ","C/O CHITTENDEN BANK             ","2 BURLINGTON SQUARE             ","BURLINGTON VT 05401             ","CONNIE WOODWORTH              ","802-6607362     " 
"342","102 ","    ","AMERICAN AIRLINES FCU               ","                                ","                                ","                                ","                              ","                " 
"348","102 ","    ","BANK OF ENGLAND MTG                 ","                                ","                                ","                                ","                              ","                " 
"349","102 ","    ","GREGORY FUNDING LLC                 ","                                ","                                ","                                ","                              ","                " 
"350","101 ","    ","TD BANK                             ","32 CHESTNUT STREET              ","                                ","LEWISTON ME 04240               ","SHANNON POULIN                ","207-755-4140    " 
"351","102 ","    ","GUARDIAN MORTGAGE                   ","                                ","                                ","                                ","LERETA                        ","                " 
"354","101 ","    ","LITTON LOAN SERVICING               ","1 FIRST AMERICAN WAY            ","                                ","WESTLAKE TX  76262              ","ADRIANA AVILA                 ","817-699-2685    " 
"358","101 ","    ","BAC TAX SERVICES                    ","2375 N GLENVILLE DR             ","BLDG A                          ","RICHARDSON TX 75082             ","APRIL STEPHENS                ","972-498-5172    " 
"363","101 ","    ","DIGITAL FCU                         ","ATTN: ROBERTA THOMAS            ","220 DONALD LYNCH BLVD           ","MARLBOROUGH, MA 01752           ","ROBERTA THOMAS                ","508-804-9111    " 
"364","101 ","    ","ONEWEST BANK MTG SERV               ","FKA: INDYMAC MTG SERV           ","6900 BEATRICE DRIVE             ","KALAMAZOO, MI 49009-8070        ","MARYANN CAGEL                 ","269-353-2302    " 
"366","101 ","    ","PROVIDENT FUNDING                   ","1235 N DUTTON AVE               ","SUITE E                         ","SANTA ROSA CA 95401             ","LORETTA GONNELLA              ","800-6968199X870 " 
"369","497 ","    ","SUNTRUST MORTGAGE                   ","C/O VALUTREE RE SERVICE         ","1001 SEMMES AVE RVW3166         ","RICHMOND VA 23224               ","CORETTA SHELTON-LANEHART      ","804-319-2518    " 
"370","    ","    ","BEAL BANK                           ","6000 LEGACY DRIVE               ","ESCROW ADMINISTRATION           ","PLANO TX 75024                  ","SHEBA BROWN                   ","(469) 467-5322  " 
"372","102 ","    ","METRO CITY BANK                     ","                                ","                                ","                                ","                              ","                " 
"373","106 ","    ","AMC MORTGAGE SERVICES               ","3100 NEW YORK DRIVE             ","SUITE 100                       ","PASADENA CA 91107               ","KAREN ROBERTS                 ","626-345-3538    " 
"375","102 ","    ","CTX MORTGAGE COMPANY                ","                                ","                                ","                                ","                              ","                " 
"376","102 ","    ","GREENPOINT MORTGAGE                 ","                                ","                                ","                                ","                              ","                " 
"377","102 ","    ","EMC MORTGAGE CORP                   ","                                ","                                ","                                ","                              ","                " 
"379","101 ","    ","EASTERN BANK                        ","151 CAMPANELLI DRIVE            ","                                ","MIDDLEBOROUGH MA  02346         ","CATHY KEMP                    ","508-946-6761    " 
"380","101 ","    ","USAA FEDERAL SAVINGS BANK           ","ATTN: SONYA TURNER - TAX        ","8435 STEMMONS FREEWAY           ","DALLAS, TX 75247                ","SONYA TURNER                  ","214-879-5484    " 
"386","101 ","    ","WACHOVIA MORTGAGE                   ","6053 FASHION SQUARE DRIVE       ","                                ","MURRAY UT 84107                 ","VICKI JUNIEWICZ               ","801-284-4600    " 
"387","102 ","    ","THE SERVION GROUP                   ","901 CORPORATE DRIVE             ","                                ","POMONA, CA 91768                ","                              ","                " 
"392","101 ","    ","AURORA LOAN SERVICES                ","                                ","                                ","                                ","CEDRIC HAGGERTY               ","817-699-5743    " 
"395","102 ","    ","SELECT PORTFOLIO SERV INC           ","P O BOX 65250                   ","                                ","SALT LAKE CITY, UT 84165-0250   ","BRIAN                         ","1-866-2048953   " 
"397","102 ","    ","CENTRAL MORTGAGE COMPANY            ","                                ","                                ","                                ","                              ","                " 
"398","101 ","    ","EQUITY ONE                          ","PO BOX 13912                    ","                                ","DURHAM  NC  27709               ","                              ","866-818-1278    " 
"400","101 ","    ","THOMASTON SAVINGS BANK              ","CORELOGIC                       ","                                ","                                ","                              ","                " 
"401","101 ","    ","TAYLOR BEAN & WHITAKER              ","1417 N MAGNOLIA AVENUE          ","                                ","OCALA FL 34475-9078             ","CARLOS A VEGA                 ","352369620011370 " 
"403","101 ","    ","VIRTUAL BANK                        ","MORTGAGE LOAN SERV              ","3801 PGA BLVD, STE 700          ","PALM BEACH GARDENS, FL 33410    ","                              ","561-775-6867    " 
"404","101 ","    ","US BANK HOME MORTGAGE               ","FKA: US BANCORP/USAA            ","150 CIVIC CENTER DRIVE          ","SANDY  UT  84070                ","                              ","(801) 284-4600  " 
"406","    ","    ","HOMEQ SERVICING                     ","PO BOX 13909                    ","                                ","DURHAM NC 27709-9548            ","                              ","866-259-5641    " 
"408","102 ","    ","BANKUNITED                          ","7815 NW 148TH STREET            ","TAX DEPARTMENT                  ","MIAMI LAKES FL 33016            ","LILLIAN F PECK                ","305-231-6419    " 
"409","106 ","    ","SAXON MORTGAGE SERVICES INC         ","3100 NEW YORK DRIVE             ","SUITE 100                       ","PASADENA CA 91107               ","KAREN ROBERTS                 ","626-345-3538    " 
"412","106 ","    ","AMERICAS SERVICING COMPANY          ","1 HOME CAMPUS                   ","MAC X2509-02C                   ","DES MOINES IA 50328             ","AMANDA HOLLANDER              ","515-324-0507    " 
"413","101 ","    ","MIDWEST LOAN SERV INC               ","616 SHELDON AVE STE 300         ","                                ","HOUGHTON  MI  49931             ","DONNA POISSON                 ","906-483-4360    " 
"416","101 ","    ","INZURA SETTLEMENT SERVICES          ","15253 AVENUE OF SCIENCE         ","BLDG 2                          ","SAN DIEGO CA 92128              ","JANE ROETHLER                 ","858-451-7365    " 
"417","101 ","    ","BAYVIEW LOAN SERVICING LLC          ","4425 PONCE DE LEON BLVD         ","5TH FLOOR                       ","CORAL GABLES FL 33146           ","ANGELA DORMER                 ","305-341-5616    " 
"418","102 ","    ","TIAA BANK                           ","                                ","                                ","                                ","                              ","800-537-3821    " 
"419","102 ","    ","LOANCARE SERVICING CENTER INC       ","(ALSO WITH CORELOGIC 101)       ","INTERSTATE CORP CENTER BLDG 9   ","NORFOLK VA 23502                ","CHRIS POSTON                  ","7578931375      " 
"420","101 ","    ","NATIONWIDE ADVANTAGE MORTGAGE CO    ","1100 LOCUST STREET DPT 2009     ","                                ","DES MOINES  IA 50391            ","VAL CERRETTI-WATSON           ","515-508-7810    " 
"422","101 ","    ","WEICHERT FINANCIAL                  ","225 LITTLETON ROAD              ","                                ","MORRIS PLAINS NJ 07950          ","CHRISTINA BUENO               ","973-605-1510    " 
"423","106 ","    ","MOREQUITY                           ","3100 NEW YORK DRIVE             ","SUITE 100                       ","PASADENA  CA  91107             ","KAREN ROBERTS                 ","(626) 345-3538  " 
"426","106 ","    ","EMC MORTGAGE CORP                   ","                                ","                                ","                                ","                              ","                " 
"427","102 ","    ","UPS CAPITAL BUSINESS CREDIT         ","                                ","                                ","                                ","                              ","                " 
"428","101 ","    ","CHITTENDEN                          ","2 BURLINGTON SQUARE             ","PO BOX 820                      ","BURLINGTON VT 05401             ","SUSAN LING                    ","802-660-1563    " 
"429","101 ","    ","CITIFINANCIAL MORTGAGE CO           ","95 METHODIST HILL DRIVE         ","SUITE 100                       ","ROCHESTER NY  14623             ","PATRICK GURDGIEL              ","585-321-6867    " 
"432","101 ","    ","TRUHOME SOLUTIONS                   ","                                ","9777 RIDGE DRIVE                ","LENEXA KS 66219                 ","DEBBIE BOLES                  ","913-981-1730    " 
"433","101 ","    ","US ALLIANCE CU                      ","ATTN: SHANDA IACONO             ","159 OVERLAND RD                 ","WALTHAM MA 02454                ","SHANDA IACONO X2211           ","800-2754        " 
"435","    ","    ","FIRST PALM FINANCIAL SERV           ","6675 CORPORATE CENTER PKWY      ","#340                            ","JACKSONVILLE FL  32216          ","ANN MACKEY                    ","904-281-5353    " 
"438","101 ","    ","FREEDOM MORTGAGE C/O LOANCARE       ","3637 SENTARA WAY                ","SUITE 303                       ","VIRGINIA BEACH  VA 23452        ","CHRIS POSTON                  ","757-893-1375    " 
"439","101 ","    ","BANK OF THE WEST                    ","1 CORELOGIC DR                  ","                                ","WESTLAKE TX                     ","SYLVIA MOORE                  ","817-699-2159    " 
"440","102 ","    ","SELECT PORTFOLIO SERVICING, INC     ","10401 DEERWOOD PARK BLVD        ","2ND FLOOR                       ","JACKSONVILLE  FL  32256         ","KATHI DUNN                    ","(904) 854-8657  " 
"442","102 ","    ","WELLS FARGO-CAPITAL MARKETS         ","                                ","                                ","                                ","                              ","                " 
"443","102 ","    ","WILSHIRE CREDIT CORP INC            ","                                ","                                ","                                ","                              ","                " 
"446","101 ","    ","HOMESELECT SETTLEMENT SOL           ","1 CORELOGIC DRIVE               ","                                ","WESTLAKE  TX  76262             ","TONY MOLINAR                  ","817-699-2710    " 
"447","102 ","    ","CALIBER HOME LOANS                  ","FKA VERICREST FINANCIAL         ","                                ","                                ","LERETA                        ","                " 
"448","101 ","    ","USDA/RURAL DEVELOPMENT              ","4300 GOODFELLOW BLVD            ","BLDG 105E                       ","ST LOUIS  MO  63120             ","SHONDA COLEMAN                ","314-457-5899    " 
"449","102 ","    ","UNITED BANK                         ","95 ELM STREET                   ","PO BOX 9020                     ","WEST SPRINGFIELD, MA  010909020 ","                              ","413-788-5599    " 
"450","101 ","    ","AVELO MORTGAGE                      ","                                ","                                ","                                ","                              ","                " 
"451","101 ","    ","HOME LOANS SERVICES                 ","                                ","                                ","                                ","RASHAD MOORE                  ","817-699-2159    " 
"453","101 ","    ","WESTLAKE SETTLEMENT SERV            ","1 FIRST AMERICAN WAY            ","                                ","WESTLAKE TX  76262              ","DEBRA D. LEWIS                ","817-699-2753    " 
"454","    ","    ","POPULAR MORTGAGE SERVICING          ","PO BOX 13912                    ","                                ","DURHAM NC 27709                 ","                              ","866-818-1278    " 
"456","101 ","    ","SAXON MORTGAGE                      ","                                ","                                ","                                ","ERIC O'STEEN                  ","817-699-2872    " 
"458","    ","    ","LITTON                              ","PO BOX 13930                    ","                                ","DURHAM NC  27709                ","                              ","866-656-7675    " 
"459","106 ","    ","UBS AG NEW YORK BRANCH              ","DBA UBS SPECIAL                 ","3100 NEW YORK DRIVE             ","PASADENA CA  91107              ","                              ","949-265-1848    " 
"460","101 ","    ","BB&T MORTGAGE                       ","301 COLLEGE STREET              ","ATTN ANGELA THOMAS              ","GREENVILLE  SC 29601            ","ANGELA THOMAS                 ","864-242-8798    " 
"461","101 ","    ","PARK NATIONAL BANK                  ","11 WEST MADISON ST              ","                                ","OAK PARK  IL 60302              ","LESLIE IZURIETA               ","708-358-2295    " 
"462","101 ","    ","SALEM FIVE                          ","210 ESSEX STREET                ","                                ","SALEM  MA  01970                ","LISA SANDLER                  ","978-720-5280    " 
"463","101 ","    ","PRODOVIS MORTGAGE                   ","600 SIX FLAGS DRIVE             ","STE 250                         ","ARLINGTON TX  76011             ","DANIELLE DUBBERLY             ","817-635-8309    " 
"464","101 ","    ","RESIDENTIAL CREDIT SOLUTIONS        ","1 FIRST AMERICAN WAY            ","DFW 5-4                         ","WESTLAKE TX 76262               ","NIKKI AYERS                   ","817-699-2698    " 
"465","101 ","    ","PEOPLES UNITED BANK                 ","422 IMB RD  BLDG 863            ","                                ","WILLISTON  VT  05495            ","LORI KASUPSKI                 ","802-872-6659    " 
