BACK TAX CODE,LIST NO,YEAR,TYPE,NAME,SECOND NAME,ADDRESS 1,ADDRESS 2,CITY,STATE,ZIP5,ZIP4,TOTAL TAX DUE,1ST PMT DUE,2ND PMT DUE,GROSS ASSESSMENT,TOTAL EXEMPTION,NET ASSESSMENT,LOCATION #,LOCATION NAME,PROPERTY DESC1,PROPERTY DESC2,DISTRICT,MILL RATE,TOWN NO.,C OF C TEXT,C OF C NO,C OF C DATE,TAX BASE BEFORE,MILL RATE BEFORE,USER MESSAGE,OCR SCAN LINE,EDP TEXT,EDP AMOUNT,TOTAL DUE 3RD,TOTAL DUE 4TH,CITY TAX DUE,CITY MILL RATE,FIRE TAX DUE,FIRE MILL RATE,BAR CODE
"",420186,2012,"P","B & D LANDSCAPING & LAWN MAINT","","207 SPENCER HILL RD","","WINSTED","CT","06098","0000",1281.08,640.54,640.54,41060,0,41060,"    207","SPENCER HILL RD","Furniture-Penalty","",0,31.200,162,"",0,,0,0,"",16220120124201865000128108800006405406,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420186P2012*
"",700701,2012,"P","B E C MACHINE TOOL INC","","P O BOX 1031","","WINSTED","CT","06098","0000",1315.70,657.85,657.85,57530,15360,42170,"    104","GROPPO DR","Machinery-New Mfg. Equip-Furniture-Supplies","",0,31.200,162,"",0,,0,0,"",16220120127007012000131570400006578582,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*700701P2012*
"",400270,2012,"P","B P O ELKS 844","","75 HIGH STREET","","WINSTED","CT","06098","0000",172.54,86.27,86.27,5530,0,5530,"     75","HIGH ST","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124002701000017254400000862721,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400270P2012*
"",421080,2012,"P","BADGER MWE","C/O KIM BADGER","PO BOX 225","","WINSTED","CT","06098","0000",46.96,46.96,0.00,1505,0,1505,"    247","N MAIN ST","Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124210809000004696100000469617,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421080P2012*
"",420540,2012,"P","BANK NORTH GROUP INC","C/O CENTURY TAX & AUDIT LLC","50 SPORT HILL RD","","REDDING","CT","06896","0000",848.76,424.38,424.38,27204,0,27204,"    200","NEW HARTFORD RD","Furniture-Data Processing Eqip-TELECOMMUNICATIONS-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124205403000084876200004243829,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420540P2012*
"",400950,2012,"P","BANK OF AMERICA NA","","101 NORTH TRYON ST","NC1-001-03-80","CHARLOTTE","NC","28255","0000",3397.72,1698.86,1698.86,108901,0,108901,"     44","ELM ST","Furniture-Data Processing Eqip-All Others-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124009508000339772600016988690,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400950P2012*
"BT",400310,2012,"P","BANNER SPRING CORP","","P O BOX 657","","WINSTED","CT","06098","0000",1064.24,532.12,532.12,38930,4820,34110,"    210","HOLABIRD AVE","Machinery-New Mfg. Equip-Furniture-Data Processing Eqip","",0,31.200,162,"",0,,0,0,"",16220121024003105000106424500005321274,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400310P2012*
"",404360,2012,"P","BARDEN CORP","DBA WINSTED PRECISION BALL CORP","200 PARK AVE","","DANBURY","CT","06813","0000",17497.28,8748.64,8748.64,1946460,1385650,560810,"    159","COLEBROOK RIVER RD","Machinery-New Mfg. Equip-Furniture-Data Processing Eqip","",0,31.200,162,"",0,,0,0,"",16220120124043606001749728000087486423,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*404360P2012*
"",400350,2012,"P","BARONET COFFEE INC","","P O BOX 987","","HARTFORD","CT","06143","0000",6.55,6.55,0.00,210,0,210,"","","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124003501000000655100000065515,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400350P2012*
"",421111,2012,"P","BARRETT PATRICK","DBA LUCY DUCK PRESS","79012 TURNPIKE RD","","CANAAN","CT","06018","0000",45.86,45.86,0.00,1470,0,1470,"      9","WILLOW ST","Machinery-Furniture-Supplies","",0,31.200,162,"ADJUSTED TAX:",92705,5/31/2013,0,0,"",16220120124211112000004586400000458649,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421111P2012*
"",421032,2012,"P","BAXTER HEALTHCARE CORP","C/O THOMSON REUTERS(PROP TAX SERVIC","P O BOX 4900","","SCOTTSDALE","AZ","85261","4900",34.60,34.60,0.00,1109,0,1109,"","","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124210320000003460300000346039,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421032P2012*
"",420116,2012,"P","BERKSHIRE STONE","","177 COLEBROOK RIVER RD","","WINSTED","CT","06098","0000",1241.76,620.88,620.88,78330,38530,39800,"    177","COLEBROOK RIVER RD","Machinery-New Mfg. Equip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124201162000124176900006208806,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420116P2012*
"",400460,2012,"P","BERT'S BOTTLE SHOPPE","C/O JOLYNN DECKER","15 PROSPECT STREET","","WINSTED","CT","06098","0000",53.07,53.07,0.00,1701,0,1701,"     15","PROSPECT ST","Furniture-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124004608000005307400000530747,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400460P2012*
"",401780,2012,"P","BETSY'S BOUTIQUE","C/O JOSEPH ELIZABETH A","502 MAIN STREET","","WINSTED","CT","06098","0000",122.30,61.15,61.15,3920,0,3920,"    502","MAIN ST","Furniture-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124017808000012230900000611503,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*401780P2012*
"",402430,2012,"P","BILLY RAY'S CAFE","","19 ROWLEY ST","","WINSTED","CT","06098","0000",237.12,118.56,118.56,7600,0,7600,"     19","ROWLEY ST","Furniture-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124024309000023712300001185629,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*402430P2012*
"",400500,2012,"P","BIRCH LANE CO","","BOX 206","","NEW HARTFORD","CT","06057","0000",17.47,17.47,0.00,560,0,560,"","","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124005001000001747500000174752,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400500P2012*
"",420958,2012,"P","BIZNUZZ","C/O JOHN MORICI","24 CENTER ST","","WINSTED","CT","06098","0000",228.38,114.19,114.19,7320,0,7320,"     24","CENTER ST","Furniture-Penalty","",0,31.200,162,"",0,,0,0,"",16220120124209587000022838700001141994,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420958P2012*
"",420911,2012,"P","BLACHERE GROUP","C/O EVA BLACHERE","210 HOLABIRD AVE","","WINSTED","CT","06098","0000",12.89,12.89,0.00,413,0,413,"","","Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124209116000001289800000128988,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420911P2012*
"",421070,2012,"P","BNB MANUFACTURING CO","","200 PRICE RD","","WINSTED","CT","06098","0000",5612.82,2806.41,2806.41,3160038,2980140,179898,"    200","PRICE RD","Non-Reg Motor Vehicl-Machinery-New Mfg. Equip-Furniture","",0,31.200,162,"ADJUSTED TAX:",92609,4/15/2013,0,0,"",16220120124210700000561282500028064128,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421070P2012*
"",420753,2012,"P","BOWEN AGENCY","C/O ANN BOWEN","26 CENTER ST","","WINSTED","CT","06098","0000",42.59,42.59,0.00,1365,0,1365,"     26","CENTER ST","Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124207532000004259800000425988,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420753P2012*
"",421081,2012,"P","BOZZUTO'S INC","","275 SCHOOLHOUSE RD","","CHESIRE","CT","06410","0000",76.03,76.03,0.00,2437,0,2437,"    372","MAIN ST","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124210817000007603400000760348,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421081P2012*
"",400560,2012,"P","BRAUNSTEIN STANLEY D & CO","","150 RUGG BROOK ROAD","","WINSTED","CT","06098","0000",12.64,12.64,0.00,405,0,405,"    150","RUGG BROOK RD","Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124005605000001264100000126414,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400560P2012*
"",420403,2012,"P","BROADWAY REST & DINER","","100 MAIN ST","","WINSTED","CT","06098","0000",257.72,128.86,128.86,8260,0,8260,"    100","MAIN ST","Machinery-Penalty","",0,31.200,162,"",0,,0,0,"",16220120124204034000025772500001288681,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420403P2012*
"",406205,2012,"P","BUCHANAN STEVE & RITA","","317 COLEBROOK RD","","WINSTED","CT","06098","0000",208.24,104.12,104.12,6674,0,6674,"    317","COLEBROOK RD","Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124062051000020824900001041250,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*406205P2012*
"",420491,2012,"P","CADCO LTD/BROILKING CORP","","145 COLEBROOK RIVER RD","","WINSTED","CT","06098","0000",1972.16,986.08,986.08,293760,230550,63210,"143-145","COLEBROOK RIVER RD","Machinery-New Mfg. Equip-Furniture-Data Processing Eqip","",0,31.200,162,"",0,,0,0,"",16220120124204919000197216500009860831,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420491P2012*
"",420187,2012,"P","CAINE MACHINING INC","","43 MEADOW ST","P O BOX 293","WINSTED","CT","06098","0000",862.38,431.19,431.19,35340,7700,27640,"     43","MEADOW ST","Machinery-New Mfg. Equip-Furniture-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124201873000086238300004311976,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420187P2012*
"",400740,2012,"P","CAMP WAH-NEE IN THE BERKSHIRES","C/O STRICKER DAVE","61 BOGART AVE","","PORT WASHINGTON","NY","11050","0000",544.44,272.22,272.22,17450,0,17450,"    128","WAHNEE RD","Machinery-Furniture-Mechanic's Tools-TELECOMMUNICATIONS","",0,31.200,162,"",0,,0,0,"",16220120124007403000054444500002722294,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400740P2012*
"",420188,2012,"P","CAMPION AMBULANCE SERVICE INC","","P O BOX 1227","15 W DOVER ST","WATERBURY","CT","06721","0000",163.50,81.75,81.75,5240,0,5240,"    115","SPENCER ST","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124201881000016350100000817527,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420188P2012*
"",401550,2012,"P","CANINE ACADEMY","C/O RUDDY WILLIAM & PEGGY","336 WINCHESTER RD","","WINSTED","CT","06098","0000",16.54,16.54,0.00,530,0,530,"    336","WINCHESTER RD","Furniture-All Others","",0,31.200,162,"",0,,0,0,"",16220120124015505000001654300000165432,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*401550P2012*
"",420070,2012,"P","CANNAVO CO INC","DBA CANNAVO LANDSCAPING","920 MAIN ST","","WINSTED","CT","06098","0000",140.72,70.36,70.36,4510,0,4510,"    920","MAIN ST","Machinery-Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124200701000014072300000703676,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420070P2012*
"",400755,2012,"P","CANNAVO CONSTRUCTION INC","","P O BOX 1075","","WINSTED","CT","06098","0000",4602.94,2301.47,2301.47,147530,0,147530,"","TORRINGTON RD","Machinery-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124007551000460294200023014716,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400755P2012*
"",420977,2012,"P","CANNAVO THERESA","","100 WHITING ST-SUITE 6","","WINSTED","CT","06098","0000",29.95,29.95,0.00,960,0,960,"    100","WHITING ST","Furniture-Penalty","",0,31.200,162,"",0,,0,0,"",16220120124209777000002995900000299599,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420977P2012*
"",420722,2012,"P","CANON FINANCIAL SERVICES INC","","158 GAITHER DR SUITE 200","P O BOX 5008","MT LAUREL","NJ","08054","0000",183.14,91.57,91.57,5870,0,5870,"    294","MAIN ST","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124207227000018314500000915794,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420722P2012*
"",421067,2012,"P","CAPPIABIANCA FINANCIAL SERVICES","","286 MAIN ST","","WINSTED","CT","06098","0000",68.58,68.58,0.00,2198,0,2198,"    286","MAIN ST","Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124210676000006858500000685850,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421067P2012*
"",400800,2012,"P","CAPPYS CLEANERS & TAILORING LLC","C/O JOON CHUL LIM","57 MAIN STREET","","WINSTED","CT","06098","0000",1634.26,817.13,817.13,52380,0,52380,"     57","MAIN ST","Machinery-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124008005000163426000008171300,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400800P2012*
"",421020,2012,"P","CAPUANO'S","C/O JOE CAPUANO","6 WILLOW ST","","WINSTED","CT","06098","0000",222.78,111.39,111.39,7640,500,7140,"      6","WILLOW ST","Mechanic's Tools-Penalty","",0,31.200,162,"",0,,0,0,"",16220120124210205000022278600001113931,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421020P2012*
"",420810,2012,"P","CARDTRONICS USA INC","","3250 BRIARPARK DR # 400","","HOUSTON","TX","77042","4462",80.81,80.81,0.00,2590,0,2590,"     47","MAIN ST CVS","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124208100000008081200000808129,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420810P2012*
"BT",420997,2012,"P","CARTER DAVID G","DBA CARTER BUILDING","148R MOUNTAIN RD","","WINSTED","CT","06098","0000",80.81,80.81,0.00,2590,0,2590,"    148","MOUNTAIN RD","Furniture-Penalty","",0,31.200,162,"",0,,0,0,"",16220121024209975000008081200000808124,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420997P2012*
"",420912,2012,"P","CATALINA MARKETING CORPORATION","","P O BOX 52307","ERNEST & YOUNG PROPERTY TAX","ATLANTA","GA","30355","0307",24.02,24.02,0.00,770,0,770,"    200","NEW HARTFORD RD","Data Processing Eqip","",0,31.200,162,"",0,,0,0,"",16220120124209124000002402600000240260,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420912P2012*
"",401710,2012,"P","CBS OUTDOOR INC","","355 WASHINGTON AVE","","NORTH HAVEN","CT","06473","0000",39.31,39.31,0.00,1260,0,1260,"","","All Others","",0,31.200,162,"",0,,0,0,"",16220120124017105000003931300000393131,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*401710P2012*
"",421005,2012,"P","CELLCO PARTNERSHIP","DBA VERIZON WIRELESS","P O BOX 635","","BASKING RIDGE","NJ","07920","0000",2468.26,1234.13,1234.13,79111,0,79111,"    108","OAKDALE AVE","Furniture-TELECOMMUNICATIONS-Cables","",0,31.200,162,"",0,,0,0,"",16220120124210056000246826200012341370,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421005P2012*
"",421082,2012,"P","CELLCO PARTNERSHIP","DBA VERIZON WIRELESS","PO BOX 635","","BASKING RIDGE","NJ","07920","0000",9232.00,4616.00,4616.00,295897,0,295897,"","NORFOLK RD","Furniture-TELECOMMUNICATIONS-Cables","",0,31.200,162,"",0,,0,0,"",16220120124210825000923200000046160095,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421082P2012*
"",420493,2012,"P","CENTURY LEASING INC","C/O TODD GREGORY","88 MAIN ST","","NORWALK","CT","06851","0000",17.16,17.16,0.00,550,0,550,"    202","TORRINGTON RD","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124204935000001716000000171606,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420493P2012*
"",420826,2012,"P","CFDA II","C/O LISA CORMIER","74 PARK PLACE","","WINSTED","CT","06098","0000",91.10,91.10,0.00,2920,0,2920,"     74","PARK PLACE","Furniture-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124208266000009110800000911088,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420826P2012*
"",420925,2012,"P","CHARDANZ","C/O CHARLENE PASSINI","416 PLATT HILL RD","","WINSTED","CT","06098","0000",15.29,15.29,0.00,490,0,490,"    416","PLATT HILL RD","Furniture-Penalty","",0,31.200,162,"",0,,0,0,"",16220120124209256000001529700000152976,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420925P2012*
"",420887,2012,"P","CHARTER FIBERLINK CT CCO LLC","","12405 POWERSCOURT DR","","ST LOUIS","MO","63131","3674",1221.48,610.74,610.74,39150,0,39150,"","","TELECOMMUNICATIONS-Data Processing Eqip","",0,31.200,162,"",0,,0,0,"",16220120124208878000122148000006107414,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420887P2012*
"",420405,2012,"P","CHINA DELIGHT INC","C/O YING ZHAO","200 NEW HARTFORD RD #B4","","WINSTED","CT","06098","0000",262.14,131.07,131.07,8402,0,8402,"    200","NEW HARTORD RD #B4","Furniture-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124204059000026214700001310789,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420405P2012*
"",410002,2012,"P","CHINA STAR KITCHEN","","440 MAIN ST","","WINSTED","CT","06098","0000",61.15,61.15,0.00,1960,0,1960,"    440","MAIN ST","Furniture-TELECOMMUNICATIONS-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124100026000006115000000611501,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*410002P2012*
"",420873,2012,"P","CHIPPANEE CONSTRUCTION LLC","C/O BEHRENDT MATTHEW","193 TORRINGFORD ST","","WINSTED","CT","06790","0000",1542.00,771.00,771.00,49423,0,49423,"    193","TORRINGFORD ST","Furniture-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124208738000154200000007710061,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420873P2012*
