TransactionID,BatchNumber,LocationID,CustomerID,TxCode,TxPostingDate,TxBillingDate,TxPayDate,TxAmount,TxDescription,TxCurrentRead,TxEstimate,TxConsumption,TxWaterRate,TxSewerRate,TxSewerFlat,TxWaterChg,TxSewerChg,TxMeterChg,TxInterest,TxPayment,TxPriorRead,TxPriorCons,TxPriorAmt
23272,749,1167,1194,RD,3/3/2008,3/1/2008,3/20/2008,130.42,Water & Sewer Charge,783960,FALSE,3120,2.09,2.09,,65.21,65.21,0.00,0.00,130.42,780840,3820,159.68
23273,749,1170,1196,RD,3/3/2008,3/1/2008,3/27/2008,427.98,Water & Sewer Charge,20980,FALSE,9880,2.09,2.09,,206.49,206.49,15.00,0.00,427.98,11100,2000,98.60
23274,749,1171,1196,RD,3/3/2008,3/1/2008,7/10/2008,"4,398.14",Water & Sewer Charge,113840,FALSE,104740,2.09,2.09,,"2,189.07","2,189.07",20.00,0.00,"4,398.14",9100,7900,350.22
23275,749,1172,1196,RD,3/3/2008,3/1/2008,3/27/2008,224.00,Water & Sewer Charge,1131000,FALSE,5000,2.09,2.09,,104.50,104.50,15.00,0.00,224.00,1126000,6000,265.80
23277,749,1175,1193,RD,3/3/2008,3/1/2008,4/23/2008,196.00,Water & Sewer Charge,2006750,FALSE,4330,2.09,2.09,,90.50,90.50,15.00,0.00,196.00,2002420,5750,255.36
24464,0,983,983,MC,4/9/2010,4/9/2010,4/30/2010,650.38,"6th install. Due 4/28/10 on sanitary sewer connection
   1207 Farm. Ave.
$605.00 + $45.38 = $650.38",0,FALSE,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,650.38,0,0,0.00
24465,751,1,1436,RD,3/6/2008,4/1/2008,4/4/2008,682.98,Water & Sewer Charge,68000,FALSE,16100,2.09,2.09,,336.49,336.49,10.00,0.00,682.98,51900,4800,210.64
24466,751,2,2,RD,3/6/2008,4/1/2008,4/7/2008,348.58,Water & Sewer Charge,205700,FALSE,8100,2.09,2.09,,169.29,169.29,10.00,0.00,348.58,197600,5200,227.36
24467,751,3,3,RD,3/6/2008,4/1/2008,4/16/2008,264.98,Water & Sewer Charge,283700,FALSE,6100,2.09,2.09,,127.49,127.49,10.00,0.00,264.98,277600,3100,139.58
24468,751,4,4,RD,3/6/2008,4/1/2008,4/8/2008,315.14,Water & Sewer Charge,97000,FALSE,7300,2.09,2.09,,152.57,152.57,10.00,0.00,315.14,89700,5300,231.54
24469,751,5,1365,RD,3/6/2008,4/1/2008,4/22/2008,327.68,Water & Sewer Charge,156000,FALSE,7600,2.09,2.09,,158.84,158.84,10.00,0.00,327.68,148400,7500,323.50
24470,751,6,1483,RD,3/6/2008,4/1/2008,4/3/2008,239.90,Water & Sewer Charge,229200,FALSE,5500,2.09,2.09,,114.95,114.95,10.00,0.00,239.90,223700,2300,106.14
24471,751,7,7,RD,3/6/2008,4/1/2008,4/2/2008,55.98,Water & Sewer Charge,78000,FALSE,1100,2.09,2.09,,22.99,22.99,10.00,0.00,55.98,76900,800,43.44
24472,751,8,8,RD,3/6/2008,4/1/2008,4/9/2008,202.28,Water & Sewer Charge,111300,FALSE,4600,2.09,2.09,,96.14,96.14,10.00,0.00,202.28,106700,2300,106.14
24473,751,9,9,RD,3/6/2008,4/1/2008,4/3/2008,198.10,Water & Sewer Charge,221100,FALSE,4500,2.09,2.09,,94.05,94.05,10.00,0.00,198.10,216600,4200,185.56
24474,751,10,8,RD,3/6/2008,4/1/2008,4/9/2008,168.84,Water & Sewer Charge,81600,FALSE,3800,2.09,2.09,,79.42,79.42,10.00,0.00,168.84,77800,1300,64.34
24475,751,11,1233,RD,3/6/2008,4/1/2008,4/24/2008,198.10,Water & Sewer Charge,259200,FALSE,4500,2.09,2.09,,94.05,94.05,10.00,0.00,198.10,254700,5300,231.54
24476,751,12,12,RD,3/6/2008,4/1/2008,4/15/2008,139.58,Water & Sewer Charge,74300,FALSE,3100,2.09,2.09,,64.79,64.79,10.00,0.00,139.58,71200,1800,85.24
24477,751,13,13,RD,3/6/2008,4/1/2008,4/25/2008,411.28,Water & Sewer Charge,59500,FALSE,9600,2.09,2.09,,200.64,200.64,10.00,0.00,411.28,49900,6400,277.52
24478,751,14,1420,RD,3/6/2008,4/1/2008,8/1/2008,486.57,Water & Sewer Charge,74500,FALSE,10900,2.09,2.09,,227.81,227.81,10.00,20.95,486.57,63600,6500,281.70
24479,751,16,1290,RD,3/6/2008,4/1/2008,6/23/2008,303.11,Water & Sewer Charge,149600,FALSE,6700,2.09,2.09,,140.03,140.03,10.00,13.05,303.11,142900,4100,181.38
24480,751,17,17,RD,3/6/2008,4/1/2008,4/2/2008,118.68,Water & Sewer Charge,200900,FALSE,2600,2.09,2.09,,54.34,54.34,10.00,0.00,118.68,198300,9763,418.10
24481,751,18,1498,RD,3/6/2008,4/1/2008,4/30/2008,310.96,Water & Sewer Charge,217400,FALSE,7200,2.09,2.09,,150.48,150.48,10.00,0.00,310.96,210200,1400,68.52
24482,751,19,19,RD,3/6/2008,4/1/2008,5/19/2008,328.90,Water & Sewer Charge,105000,FALSE,7400,2.09,2.09,,154.66,154.66,10.00,9.58,328.90,97600,5300,231.54
24483,751,20,20,RD,3/6/2008,4/1/2008,4/9/2008,440.54,Water & Sewer Charge,89700,FALSE,10300,2.09,2.09,,215.27,215.27,10.00,0.00,440.54,79400,5500,239.90
24484,751,21,21,RD,3/6/2008,4/1/2008,4/17/2008,68.52,Water & Sewer Charge,71100,FALSE,1400,2.09,2.09,,29.26,29.26,10.00,0.00,68.52,69700,2200,101.96
24485,751,22,22,RD,3/6/2008,4/1/2008,4/4/2008,461.44,Water & Sewer Charge,244500,FALSE,10800,2.09,2.09,,225.72,225.72,10.00,0.00,461.44,233700,6800,294.24
24486,751,23,23,RD,3/6/2008,4/1/2008,4/24/2008,156.30,Water & Sewer Charge,205600,FALSE,3500,2.09,2.09,,73.15,73.15,10.00,0.00,156.30,202100,2200,101.96
24487,751,24,24,RD,3/6/2008,4/1/2008,5/20/2008,148.07,Water & Sewer Charge,114700,FALSE,3200,2.09,2.09,,66.88,66.88,10.00,4.31,148.07,111500,2400,110.32
24488,751,25,25,RD,3/6/2008,4/1/2008,4/30/2008,198.10,Water & Sewer Charge,154300,FALSE,4500,2.09,2.09,,94.05,94.05,10.00,0.00,198.10,149800,3300,147.94
24489,751,26,26,RD,3/6/2008,4/1/2008,4/8/2008,348.58,Water & Sewer Charge,282400,FALSE,8100,2.09,2.09,,169.29,169.29,10.00,0.00,348.58,274300,5400,235.72
24490,751,27,27,RD,3/6/2008,4/1/2008,4/7/2008,131.22,Water & Sewer Charge,173400,FALSE,2900,2.09,2.09,,60.61,60.61,10.00,0.00,131.22,170500,1300,64.34
24491,751,28,28,RD,3/6/2008,4/1/2008,4/14/2008,185.56,Water & Sewer Charge,232800,FALSE,4200,2.09,2.09,,87.78,87.78,10.00,0.00,185.56,228600,2600,118.68
24492,751,29,29,RD,3/6/2008,4/1/2008,4/4/2008,227.36,Water & Sewer Charge,101900,FALSE,5200,2.09,2.09,,108.68,108.68,10.00,0.00,227.36,96700,3300,147.94
24493,751,30,30,RD,3/6/2008,4/1/2008,4/7/2008,227.36,Water & Sewer Charge,84400,FALSE,5200,2.09,2.09,,108.68,108.68,10.00,0.00,227.36,79200,2300,106.14
24494,751,31,31,RD,3/6/2008,4/1/2008,3/31/2008,152.12,Water & Sewer Charge,173800,FALSE,3400,2.09,2.09,,71.06,71.06,10.00,0.00,152.12,170400,2600,118.68
24495,751,32,1410,RD,3/6/2008,4/1/2008,11/10/2008,381.74,Water & Sewer Charge,157600,FALSE,8500,2.09,2.09,,177.65,177.65,10.00,16.44,381.74,149100,7500,323.50
24496,751,33,33,RD,3/6/2008,4/1/2008,4/25/2008,352.76,Water & Sewer Charge,295200,FALSE,8200,2.09,2.09,,171.38,171.38,10.00,0.00,352.76,287000,5000,219.00
24497,751,34,34,RD,3/6/2008,4/1/2008,4/21/2008,519.96,Water & Sewer Charge,593200,FALSE,12200,2.09,2.09,,254.98,254.98,10.00,0.00,519.96,581000,2800,127.04
24498,751,35,35,RD,3/6/2008,4/1/2008,4/7/2008,356.94,Water & Sewer Charge,293700,FALSE,8300,2.09,2.09,,173.47,173.47,10.00,0.00,356.94,285400,5100,223.18
24499,751,36,36,RD,3/6/2008,4/1/2008,4/16/2008,156.30,Water & Sewer Charge,171100,FALSE,3500,2.09,2.09,,73.15,73.15,10.00,0.00,156.30,167600,2100,97.78
24500,751,37,1240,RD,3/6/2008,4/1/2008,5/1/2008,323.50,Water & Sewer Charge,137400,FALSE,7500,2.09,2.09,,156.75,156.75,10.00,0.00,323.50,129900,4900,214.82
24501,751,38,38,RD,3/6/2008,4/1/2008,4/1/2008,231.54,Water & Sewer Charge,135300,FALSE,5300,2.09,2.09,,110.77,110.77,10.00,0.00,231.54,130000,3600,160.48
24502,751,39,39,RD,3/6/2008,4/1/2008,4/7/2008,284.20,Water & Sewer Charge,215960,TRUE,6560,2.09,2.09,,137.10,137.10,10.00,0.00,284.20,209400,6700,290.06
24503,751,40,40,RD,3/6/2008,4/1/2008,4/16/2008,235.72,Water & Sewer Charge,248800,FALSE,5400,2.09,2.09,,112.86,112.86,10.00,0.00,235.72,243400,4400,193.92
24504,751,41,41,RD,3/6/2008,4/1/2008,4/30/2008,131.22,Water & Sewer Charge,121600,FALSE,2900,2.09,2.09,,60.61,60.61,10.00,0.00,131.22,118700,3400,152.12
24505,751,42,42,RD,3/6/2008,4/1/2008,4/23/2008,352.76,Water & Sewer Charge,288000,FALSE,8200,2.09,2.09,,171.38,171.38,10.00,0.00,352.76,279800,5200,227.36
24506,751,43,43,RD,3/6/2008,4/1/2008,4/24/2008,394.56,Water & Sewer Charge,309100,FALSE,9200,2.09,2.09,,192.28,192.28,10.00,0.00,394.56,299900,6100,264.98
24507,751,44,44,RD,3/6/2008,4/1/2008,4/8/2008,26.72,Water & Sewer Charge,95800,FALSE,800,2.09,2.09,,16.72,0.00,10.00,0.00,26.72,95000,500,20.45
24508,751,45,45,RD,3/6/2008,4/1/2008,4/29/2008,139.58,Water & Sewer Charge,260500,FALSE,6200,2.09,2.09,,129.58,0.00,10.00,0.00,139.58,254300,5100,116.59
24509,751,46,46,RD,3/6/2008,4/1/2008,5/1/2008,306.78,Water & Sewer Charge,277300,FALSE,7100,2.09,2.09,,148.39,148.39,10.00,0.00,306.78,270200,6500,281.70
24510,751,47,47,RD,3/6/2008,4/1/2008,6/24/2008,346.80,Water & Sewer Charge,286700,FALSE,7700,2.09,2.09,,160.93,160.93,10.00,14.94,346.80,279000,4900,214.82
24511,751,48,48,RD,3/6/2008,4/1/2008,4/9/2008,407.10,Water & Sewer Charge,400800,FALSE,9500,2.09,2.09,,198.55,198.55,10.00,0.00,407.10,391300,6400,277.52
24512,751,49,49,RD,3/6/2008,4/1/2008,4/1/2008,156.30,Water & Sewer Charge,34900,FALSE,3500,2.09,2.09,,73.15,73.15,10.00,0.00,156.30,31400,3500,156.30
24513,751,50,50,RD,3/6/2008,4/1/2008,3/31/2008,122.86,Water & Sewer Charge,97700,FALSE,2700,2.09,2.09,,56.43,56.43,10.00,0.00,122.86,95000,3400,152.12
24514,751,51,51,RD,3/6/2008,4/1/2008,4/4/2008,156.30,Water & Sewer Charge,75300,FALSE,3500,2.09,2.09,,73.15,73.15,10.00,0.00,156.30,71800,2300,106.14
24515,751,52,52,RD,3/6/2008,4/1/2008,5/8/2008,152.38,Water & Sewer Charge,183200,FALSE,3300,2.09,2.09,,68.97,68.97,10.00,4.44,152.38,179900,2300,106.14
24516,751,53,53,RD,3/6/2008,4/1/2008,4/23/2008,181.38,Water & Sewer Charge,156300,FALSE,4100,2.09,2.09,,85.69,85.69,10.00,0.00,181.38,152200,2700,122.86
24517,751,54,54,RD,3/6/2008,4/1/2008,4/1/2008,60.16,Water & Sewer Charge,8600,FALSE,1200,2.09,2.09,,25.08,25.08,10.00,0.00,60.16,7400,900,47.62
24518,751,55,1251,RD,3/6/2008,4/1/2008,4/3/2008,131.22,Water & Sewer Charge,199400,FALSE,2900,2.09,2.09,,60.61,60.61,10.00,0.00,131.22,196500,2300,106.14
24519,751,56,56,RD,3/6/2008,4/1/2008,4/30/2008,382.02,Water & Sewer Charge,65900,FALSE,8900,2.09,2.09,,186.01,186.01,10.00,0.00,382.02,57000,8700,373.66
24520,751,57,57,RD,3/6/2008,4/1/2008,4/30/2008,340.22,Water & Sewer Charge,170100,FALSE,7900,2.09,2.09,,165.11,165.11,10.00,0.00,340.22,162200,5000,219.00
24521,751,58,58,RD,3/6/2008,4/1/2008,5/1/2008,231.54,Water & Sewer Charge,44800,FALSE,5300,2.09,2.09,,110.77,110.77,10.00,0.00,231.54,39500,3700,164.66
24522,751,59,59,RD,3/6/2008,4/1/2008,4/3/2008,39.26,Water & Sewer Charge,55200,FALSE,700,2.09,2.09,,14.63,14.63,10.00,0.00,39.26,54500,400,26.72
24523,751,60,60,RD,3/6/2008,4/1/2008,4/21/2008,239.90,Water & Sewer Charge,206400,FALSE,5500,2.09,2.09,,114.95,114.95,10.00,0.00,239.90,200900,3900,173.02
24524,751,61,61,RD,3/6/2008,4/1/2008,4/10/2008,177.20,Water & Sewer Charge,116700,FALSE,4000,2.09,2.09,,83.60,83.60,10.00,0.00,177.20,112700,4300,189.74
24525,751,62,62,RD,3/6/2008,4/1/2008,4/25/2008,227.36,Water & Sewer Charge,155000,FALSE,5200,2.09,2.09,,108.68,108.68,10.00,0.00,227.36,149800,3500,156.30
24526,751,63,63,RD,3/6/2008,4/1/2008,4/8/2008,206.46,Water & Sewer Charge,53500,FALSE,4700,2.09,2.09,,98.23,98.23,10.00,0.00,206.46,48800,3100,139.58
24527,751,64,64,RD,3/6/2008,4/1/2008,5/30/2008,193.92,Water & Sewer Charge,218500,FALSE,4400,2.09,2.09,,91.96,91.96,10.00,0.00,193.92,214100,2800,127.04
24528,751,65,65,RD,3/6/2008,4/1/2008,4/3/2008,231.54,Water & Sewer Charge,246300,FALSE,5300,2.09,2.09,,110.77,110.77,10.00,0.00,231.54,241000,3500,156.30
24529,751,66,66,RD,3/6/2008,4/1/2008,4/9/2008,235.72,Water & Sewer Charge,217200,FALSE,5400,2.09,2.09,,112.86,112.86,10.00,0.00,235.72,211800,3900,173.02
24530,751,67,67,RD,3/6/2008,4/1/2008,4/30/2008,106.14,Water & Sewer Charge,113700,FALSE,2300,2.09,2.09,,48.07,48.07,10.00,0.00,106.14,111400,1600,76.88
24531,751,68,1514,RD,3/6/2008,4/1/2008,4/14/2008,173.02,Water & Sewer Charge,35400,FALSE,3900,2.09,2.09,,81.51,81.51,10.00,0.00,173.02,31500,1800,85.24
24532,751,69,69,RD,3/6/2008,4/1/2008,4/28/2008,177.20,Water & Sewer Charge,206600,FALSE,4000,2.09,2.09,,83.60,83.60,10.00,0.00,177.20,202600,4600,202.28
24533,751,70,70,RD,3/6/2008,4/1/2008,4/14/2008,214.82,Water & Sewer Charge,204500,FALSE,4900,2.09,2.09,,102.41,102.41,10.00,0.00,214.82,199600,3900,173.02
24534,751,71,71,RD,3/6/2008,4/1/2008,4/30/2008,22.54,Water & Sewer Charge,78100,FALSE,300,2.09,2.09,,6.27,6.27,10.00,0.00,22.54,77800,400,26.72
24535,751,72,72,RD,3/6/2008,4/1/2008,5/1/2008,206.46,Water & Sewer Charge,233100,FALSE,4700,2.09,2.09,,98.23,98.23,10.00,0.00,206.46,228400,3300,147.94
24536,751,73,73,RD,3/6/2008,4/1/2008,4/24/2008,373.66,Water & Sewer Charge,209300,FALSE,8700,2.09,2.09,,181.83,181.83,10.00,0.00,373.66,200600,5700,248.26
24537,751,74,74,RD,3/6/2008,4/1/2008,4/16/2008,139.58,Water & Sewer Charge,207700,FALSE,3100,2.09,2.09,,64.79,64.79,10.00,0.00,139.58,204600,2100,97.78
24538,751,75,75,RD,3/6/2008,4/1/2008,4/24/2008,210.64,Water & Sewer Charge,266500,FALSE,4800,2.09,2.09,,100.32,100.32,10.00,0.00,210.64,261700,4100,181.38
24539,751,76,76,RD,3/6/2008,4/1/2008,5/1/2008,177.20,Water & Sewer Charge,40600,FALSE,4000,2.09,2.09,,83.60,83.60,10.00,0.00,177.20,36600,2900,131.22
24540,751,77,77,RD,3/6/2008,4/1/2008,4/23/2008,294.24,Water & Sewer Charge,336400,FALSE,6800,2.09,2.09,,142.12,142.12,10.00,0.00,294.24,329600,6200,269.16
24541,751,78,78,RD,3/6/2008,4/1/2008,4/10/2008,369.48,Water & Sewer Charge,378300,FALSE,8600,2.09,2.09,,179.74,179.74,10.00,0.00,369.48,369700,12300,524.14
24542,751,79,79,RD,3/6/2008,4/1/2008,4/24/2008,147.94,Water & Sewer Charge,3300,FALSE,3300,2.09,2.09,,68.97,68.97,10.00,0.00,147.94,0,2200,101.96
24543,751,80,80,RD,3/6/2008,4/1/2008,4/8/2008,189.74,Water & Sewer Charge,194800,FALSE,4300,2.09,2.09,,89.87,89.87,10.00,0.00,189.74,190500,3500,156.30
24544,751,81,81,RD,3/6/2008,4/1/2008,4/1/2008,85.24,Water & Sewer Charge,150600,FALSE,1800,2.09,2.09,,37.62,37.62,10.00,0.00,85.24,148800,1400,68.52
24545,751,82,82,RD,3/6/2008,4/1/2008,4/22/2008,139.58,Water & Sewer Charge,299300,FALSE,3100,2.09,2.09,,64.79,64.79,10.00,0.00,139.58,296200,3200,143.76
24546,751,83,1404,RD,3/6/2008,4/1/2008,4/22/2008,193.92,Water & Sewer Charge,118400,FALSE,4400,2.09,2.09,,91.96,91.96,10.00,0.00,193.92,114000,3300,147.94
24547,751,84,84,RD,3/6/2008,4/1/2008,5/13/2008,234.18,Water & Sewer Charge,52400,FALSE,5200,2.09,2.09,,108.68,108.68,10.00,6.82,234.18,47200,4600,202.28
24548,751,85,85,RD,3/6/2008,4/1/2008,4/17/2008,122.86,Water & Sewer Charge,197100,FALSE,2700,2.09,2.09,,56.43,56.43,10.00,0.00,122.86,194400,2200,101.96
24549,751,86,86,RD,3/6/2008,4/1/2008,4/15/2008,164.66,Water & Sewer Charge,260600,FALSE,3700,2.09,2.09,,77.33,77.33,10.00,0.00,164.66,256900,3700,164.66
24550,751,87,87,RD,3/6/2008,4/1/2008,4/9/2008,164.66,Water & Sewer Charge,166700,FALSE,3700,2.09,2.09,,77.33,77.33,10.00,0.00,164.66,163000,3000,135.40
24551,751,88,88,RD,3/6/2008,4/1/2008,4/9/2008,51.80,Water & Sewer Charge,130800,FALSE,1000,2.09,2.09,,20.90,20.90,10.00,0.00,51.80,129800,2400,110.32
24552,751,89,89,RD,3/6/2008,4/1/2008,4/29/2008,219.00,Water & Sewer Charge,205100,FALSE,5000,2.09,2.09,,104.50,104.50,10.00,0.00,219.00,200100,4700,206.46
24553,751,90,90,RD,3/6/2008,4/1/2008,4/8/2008,223.18,Water & Sewer Charge,253400,FALSE,5100,2.09,2.09,,106.59,106.59,10.00,0.00,223.18,248300,3900,173.02
24554,751,91,91,RD,3/6/2008,4/1/2008,4/1/2008,202.28,Water & Sewer Charge,44700,FALSE,4600,2.09,2.09,,96.14,96.14,10.00,0.00,202.28,40100,3300,147.94
24555,751,92,92,RD,3/6/2008,4/1/2008,4/9/2008,147.94,Water & Sewer Charge,70500,FALSE,3300,2.09,2.09,,68.97,68.97,10.00,0.00,147.94,67200,3700,164.66
24556,751,93,93,RD,3/6/2008,4/1/2008,4/1/2008,319.32,Water & Sewer Charge,310700,FALSE,7400,2.09,2.09,,154.66,154.66,10.00,0.00,319.32,303300,9800,419.64
24557,751,94,94,RD,3/6/2008,4/1/2008,4/16/2008,147.94,Water & Sewer Charge,219500,FALSE,3300,2.09,2.09,,68.97,68.97,10.00,0.00,147.94,216200,2500,114.50
24558,751,95,95,RD,3/6/2008,4/1/2008,4/30/2008,302.60,Water & Sewer Charge,349300,FALSE,7000,2.09,2.09,,146.30,146.30,10.00,0.00,302.60,342300,4600,202.28
24559,751,96,96,RD,3/6/2008,4/1/2008,4/30/2008,173.02,Water & Sewer Charge,92500,FALSE,3900,2.09,2.09,,81.51,81.51,10.00,0.00,173.02,88600,3600,160.48
24560,751,97,97,RD,3/6/2008,4/1/2008,4/24/2008,114.50,Water & Sewer Charge,143500,FALSE,2500,2.09,2.09,,52.25,52.25,10.00,0.00,114.50,141000,1600,76.88
24561,751,98,1391,RD,3/6/2008,4/1/2008,4/15/2008,214.82,Water & Sewer Charge,79500,FALSE,4900,2.09,2.09,,102.41,102.41,10.00,0.00,214.82,74600,4000,177.20
24562,751,99,99,RD,3/6/2008,4/1/2008,4/23/2008,127.04,Water & Sewer Charge,22500,FALSE,2800,2.09,2.09,,58.52,58.52,10.00,0.00,127.04,19700,2400,110.32
24563,751,100,100,RD,3/6/2008,4/1/2008,4/3/2008,168.84,Water & Sewer Charge,253300,FALSE,3800,2.09,2.09,,79.42,79.42,10.00,0.00,168.84,249500,3100,139.58
24564,751,101,101,RD,3/6/2008,4/1/2008,5/12/2008,350.43,Water & Sewer Charge,365000,FALSE,7900,2.09,2.09,,165.11,165.11,10.00,10.21,350.43,357100,5600,244.08
24565,751,102,102,RD,3/6/2008,4/1/2008,5/28/2008,234.18,Water & Sewer Charge,483800,FALSE,5200,2.09,2.09,,108.68,108.68,10.00,6.82,234.18,478600,4100,181.38
24566,751,103,103,RD,3/6/2008,4/1/2008,4/14/2008,210.64,Water & Sewer Charge,242500,FALSE,4800,2.09,2.09,,100.32,100.32,10.00,0.00,210.64,237700,4500,198.10
24567,751,104,104,RD,3/6/2008,4/1/2008,6/23/2008,311.85,Water & Sewer Charge,260400,FALSE,6900,2.09,2.09,,144.21,144.21,10.00,13.43,311.85,253500,5900,256.62
24568,751,105,105,RD,3/6/2008,4/1/2008,4/9/2008,298.42,Water & Sewer Charge,337200,FALSE,6900,2.09,2.09,,144.21,144.21,10.00,0.00,298.42,330300,4700,206.46
24569,751,106,1416,RD,3/6/2008,4/1/2008,5/9/2008,126.55,Water & Sewer Charge,184400,FALSE,2700,2.09,2.09,,56.43,56.43,10.00,3.69,126.55,181700,2900,131.22
24570,751,107,107,RD,3/6/2008,4/1/2008,4/22/2008,131.22,Water & Sewer Charge,162500,FALSE,2900,2.09,2.09,,60.61,60.61,10.00,0.00,131.22,159600,2300,106.14
24571,751,108,108,RD,3/6/2008,4/1/2008,6/3/2008,130.85,Water & Sewer Charge,230400,FALSE,2800,2.09,2.09,,58.52,58.52,10.00,3.81,130.85,227600,1800,85.24
24572,751,109,109,RD,3/6/2008,4/1/2008,4/23/2008,348.58,Water & Sewer Charge,289900,FALSE,8100,2.09,2.09,,169.29,169.29,10.00,0.00,348.58,281800,6300,273.34
