Date,Field2,CustID,Field4,VehID,Town
20260206,A,4287647,,7653229,84
20260206,A,4289714,,123299,84
20260206,A,4400013,,5758183,84
20260206,A,4468215,,6784901,84
20260206,A,4523290,,4408840,84
20260206,A,4547915,,6505438,84
20260206,A,4576815,,6880878,84
20260206,A,4594703,,6779093,84
20260206,A,4603589,,7038422,84
20260206,A,4402083,,7038422,84
20260206,A,4760327,,1090913,84
20260206,A,4809753,,5871739,84
20260206,A,4827919,,7094846,84
20260206,A,4871213,,7232971,84
20260206,A,4888146,,7123377,84
20260206,A,4933451,,5107474,84
20260206,A,4941299,,6050922,84
20260206,A,4955471,,6624123,84
20260206,A,4974444,,6571736,84
20260206,A,4980760,,2697817,84
20260206,A,6659287,,7316134,84
20260206,A,5006651,,5415320,84
20260206,A,5009720,,5366321,84
20260206,A,5014416,,5022955,84
20260206,A,3494752,,5370016,84
20260206,A,5099937,,5796574,84
20260206,A,5124830,,5892232,84
20260206,A,5130811,,7968438,84
20260206,A,5225441,,4327337,84
20260206,A,5334592,,3734921,84
20260206,A,5451972,,4740229,84
20260206,A,5522301,,4990851,84
20260206,A,625948,,4990851,84
20260206,A,5550448,,2218804,84
20260206,A,5621539,,3884634,84
20260206,A,5676540,,2154744,84
20260206,A,5704823,,4921700,84
20260206,A,5714647,,7549355,84
20260206,A,5715170,,5354632,84
20260206,A,5716128,,5628702,84
20260206,A,5826952,,6518061,84
20260206,A,5851808,,5395220,84
20260206,A,5913782,,7830955,84
20260206,A,5917462,,5269208,84
20260206,A,6033920,,7691812,84
20260206,A,6034807,,762555,84
20260206,A,6041114,,5516950,84
20260206,A,6043518,,5092724,84
20260206,A,6064574,,6526592,84
20260206,A,6179323,,5751403,84
20260206,A,6187992,,6960877,84
20260206,A,6189908,,7655179,84
20260206,A,6242738,,7721510,84
20260206,A,6245622,,4927628,84
20260206,A,6254911,,4347270,84
20260206,A,6291283,,7636523,84
20260206,A,6308334,,1512457,84
20260206,A,6376696,,6962318,84
20260206,A,6415636,,7466663,84
20260206,A,6415818,,7616299,84
20260206,A,6465270,,5873802,84
20260206,A,6482874,,4635603,84
20260206,A,6511606,,5572295,84
20260206,A,6655448,,7833627,84
20260206,A,6657907,,7818169,84
20260206,A,6721051,,7853726,84
20260206,A,6775091,,5916120,84
20260206,A,6799367,,7153972,84
20260206,A,6792221,,6976469,84
20260206,A,537946,,6976469,84
20260206,A,6798519,,6877865,84
20260206,A,6806101,,6408970,84
20260206,A,6841805,,7667807,84
20260206,A,6884317,,6669725,84
20260206,A,6886377,,7521581,84
20260206,A,6923793,,4533894,84
20260206,A,6983916,,6744414,84
20260206,A,7025553,,6991766,84
20260206,A,7079978,,7452910,84
20260206,A,7253511,,7765852,84
20260206,A,7279671,,7655840,84
20260206,A,17131695,,7416392,84
