SERVICE ADDRESS,BILLING NAME,SWR ACCT,ACCT#,SEQ#,AWPCA REF,SHED,SEQ #,IRRIG,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,GALLONS,EDU,Bill
20 AVON MEADOW LANE,"CORRIDOR PROPERTY MGMT, LLC",1162020,1162020,7,,SIMS,,,,,11000,,,13000,,,10000,,,18000,"52,000",0.68,408
30 AVON MEADOW LANE,"ADN PROPERTIES, LLC",1160030,1160030,8,,SIMS,,,,,25000,,,31000,,,28000,,,22000,"106,000",1.38,828
40 AVON MEADOW LANE,PAUL CRYAN,1161040,1161040,9,,SIMS,,,,,10000,,,32000,,,9000,,,8000,"59,000",0.77,462
50 AVON MEADOW LANE,REDFOOT REALITY HOLDINGS,1161050,1161050,10,,SIMS,,,,,10000,,,9000,,,5000,,,2000,"26,000",0.34,204
60 AVON MEADOW LANE,CARBRAY PROPERTIES LLC,1160060,1160060,11,,SIMS,,,,,5000,,,5000,,,6000,,,4000,"20,000",0.26,156
70/80 AVON MEADOW LANE,"JBILL, LLC",1162070,1162070,12,,SIMS,,,,,13000,,,17000,,,11000,,,7000,"48,000",0.63,378
90 AVON MEADOW LANE,AMTEC,1162090,1162090,13,,SIMS,,,,,2000,,,2000,,,2000,,,1000,"7,000",0.09,54
100 AVON MEADOW LANE,CONST. BILLING & FINANCIAL SVC,1160100,1160100,14,,SIMS,,,,,18000,,,17000,,,18000,,,12000,"65,000",0.85,510
279 AVON MOUNTAIN RD,AVON OLD FARMS HOTEL,1170279,,,,SIMS,,,,,197000,,,467000,,,249000,,,191000,"1,104,000",14.4,8640
279 AVON MOUNTAIN RD,AVON OLD FARMS HOTEL,1170279,,,N,SIMS,,,,,132000,,,229000,,,377000,,,0,"738,000",9.63,5778
279 AVON MOUNTAIN RD,AVON OLD FARMS HOTEL,1170279,,,,SIMS,,,,,526000,,,899000,,,700000,,,103000,"2,228,000",29.07,17442
279 AVON MOUNTAIN RD,AVON OLD FARMS HOTEL,1170279,1170279,15,,SIMS,,,,,5000,,,36000,,,18000,,,0,"59,000",0.77,462
280 AVON MOUNTAIN RD,"NORTH HOUSE REALTY, LLC",1170280,1170280,16,,SIMS,,,,,188000,,,157000,,,152000,,,90000,"587,000",7.66,4596
4 BAILEY RD,JOHN D'ARCANGELO,1240004,1240004,17,,SIMS,,,,,58000,,,97000,,,70000,,,21000,"246,000",3.21,1926
101 BICKFORD DR,"BENCHMARK GPT AVON, SITE#:rra05",1300101,1300101,18,,SIMS,,,,,1131000,,,1398000,,,1142000,,,833000,"4,504,000",58.76,35256
5 BUCKINGHAM,HERITAGE AT BUCKINGHAM,5980030,5980030,19,,FARM,,,,,0,,,0,,,0,,,0,0,0,0
FARM.WOODS MASTER ASSOC,200 BYRON DR-MASTER ASSO,1610200,1610200,20,,FARM,,,,,353000,,,310000,,,215000,,,200000,"1,078,000",14.06,8436
FARM.WOODS MASTER ASSOC.,0 BYRON DR-GOLF BATHRO,1610150,,,,FARM,,,,,2000,,,1000,,,0,,,0,"3,000",0.04,24
FARM.WOODS MASTER ASSOC.,0 BYRON DR BATH HOUSE,1610150,,,,FARM,,,,,1000,,,1000,,,0,,,0,"2,000",0.03,18
FARM.WOODS MASTER ASSOC.,0 BYRON DR POOL #1,1610150,,,,FARM,,,,,3000,,,7000,,,0,,,0,"10,000",0.13,78
FARM.WOODS MASTER ASSOC.,0 GUILFORD DR-POOL,1610150,,,,FARM,,,,,60000,,,185000,,,15000,,,0,"260,000",3.39,2034
FARM.WOODS MASTER ASSOC.,0 GREENWICH POOL-BYRON,1610150,,,,FARM,,,,,0,,,0,,,0,,,0,0,0,0
FARM.WOODS MASTER ASSOC.,Mallard Dr-pool,1610150,,,,FARM,,,,,28000,,,45000,,,0,,,0,"73,000",0.95,570
FARM.WOODS MASTER ASSOC.,FARM WDS GUARD,1610150,,,,FARM,,,,,37000,,,27000,,,0,,,1000,"65,000",0.85,510
FARM.WOODS MASTER ASSOC.,43 HERITAGE DR-CLUBHOUS,1610150,,,,FARM,,,,,237000,,,209000,,,127000,,,127000,"700,000",9.13,5478
FARM.WOODS MASTER ASSOC.,46 Heritage Dr,1610150,1610150,21,,FARM,,,,,0,,,2000,,,0,,,0,"2,000",0.03,18
state of CT,3 CHIDSEY RD,1780003,1780003,22,,SIMS,,,,,0,,,0,,,0,,,400000,"400,000",5.22,3132
"GRIFFIN, GUILD LLC",5 CLIMAX ROAD,1830005,1830005,23,,SIMS,,,,,8000,,,35000,,,13000,,,2000,"58,000",0.76,456
AVON VILLAGE CENTER ,55 ClIMAX ROAD R1,1830050,,,,SIMS,,,,,1000,,,11000,,,0,,,0,"12,000",0.16,96
AVON VILLAGE CENTER ,25 ClIMAX ROAD R2,1830050,,,,SIMS,,,,,2000,,,12000,,,0,,,0,"14,000",0.18,108
AVON VILLAGE CENTER ,50 CLIMAX ROAD,1830050,,,,SIMS,,,,,0,,,0,,,81000,,,6000,"87,000",1.14,684
AVON VILLAGE CENTER ,50 CLIMAX ROAD R4,1830050,,,,SIMS,,,,,410000,,,243000,,,0,,,0,"653,000",8.52,5112
AVON VILLAGE CENTER ,60 Market St Bldg R5 M,1830050,,,,SIMS,,,,,52000,,,1359000,,,771000,,,0,"2,182,000",28.47,17082
AVON VILLAGE CENTER ,60 Market St Bldg R5 M,1830050,,,,SIMS,,,,,0,,,0,,,1000,,,0,"1,000",0.01,6
AVON VILLAGE CENTER ,30 Market St Bldg R8,1830050,1830050,24,,SIMS,,,,,1000,,,1000,,,0,,,0,"2,000",0.03,18
GOLF CLUB OF AVON,160 COUNTRY CLUB RD,1940160,1940160,25,,SIMS,,,,,183000,,,464000,,,631000,,,186000,"1,464,000",19.1,11460
CARMON & COMPANY LLC,301 COUNTRY CLUB RD,1940301,,,,SIMS,,,,,153000,,,292000,,,71000,,,0,"516,000",6.73,4038
CARMON & COMPANY LLC -IRR,301 COUNTRY CLUB RD,1940301,,,N,SIMS,,,,,167000,,,305000,,,81000,,,12000,"565,000",7.37,4422
CARMON & COMPANY LLC ,412 WEST AVON RD,1940301,1940301,26,,SIMS,,,,,13000,,,15000,,,15000,,,12000,"55,000",0.72,432
CLINTON JAMBOR,22 DALE RD,2020022,2020022,27,,SIMS,,,,,9000,,,7000,,,6000,,,6000,"28,000",0.37,222
LIBERTY BANK ,27 DALE RD,2020027,,,,SIMS,,,,,4000,,,36000,,,1000,,,0,"41,000",0.53,318
LIBERTY BANK,27 DALE RD,2020027,,,N,SIMS,,,,,7000,,,39000,,,5000,,,4000,"55,000",0.72,432
DR. COLLEEN JAMBOR,33 DALE RD,2020027,,,,SIMS,,,,,7000,,,53000,,,50000,,,20000,"130,000",1.7,1020
DR. SIOBAN STEPHEN,33 DALE RD,2020027,,,,SIMS,,,,,4000,,,2000,,,11000,,,28000,"45,000",0.59,354
DR NICHOLAS LABBADIA,33 DALE RD,2020027,2020027,28,N,SIMS,,,,,37000,,,32000,,,12000,,,0,"81,000",1.06,636
TC&F LLC,34 DALE RD,2020034,2020034,29,,SIMS,,,,,99000,,,118000,,,100000,,,85000,"402,000",5.24,3144
"40 DALE RD, LLC",40 DALE RD,2020040,2020040,30,,SIMS,,,,,75000,,,110000,,,96000,,,82000,"363,000",4.74,2844
44 DALE RD. LLC,44 DALE RD,2020044,2020044,31,,SIMS,,,,,149000,,,211000,,,219000,,,127000,"706,000",9.21,5526
"OFS FITEL, LLC",55 Darling Dr- Primary,2030055,2030055,32,,SIMS,,,,,0,,,0,,,0,,,1091000,"1,091,000",14.23,8538
peachtree assoc,60 Darling Dr,2030060,2030060,33,,SIMS,,,,,1000,,,1000,,,1000,,,1000,"4,000",0.05,30
LEGERE WOODWORKING,80 DARLING DR,2030080,2030080,34,,SIMS,,,,,0,,,0,,,0,,,781000,781,0.01,6
"COCC, INC.",105 DARLING DR,2030105,2030105,35,,SIMS,,,,,0,,,0,,,0,,,161000,161,0,0
ORAFOL AMERICAS INC.,120 DARLING DR,2030120,2030120,36,,SIMS,,,,,0,,,0,,,0,,,2888000,2888,0.04,24
"135 DARLING DR, LLC",135 DARLING DR,2030135,2030135,37,,SIMS,,,,,16000,,,4000,,,16000,,,10000,"46,000",0.6,360
DECAPO BRICK OVEN PIZZA,1 EAST MAIN ST,2140001,,,,SIMS,,,,,368000,,,373000,,,273000,,,193000,"1,207,000",15.75,9450
"AVON VILLAGE ASSOC., LLC",7 EAST MAIN ST,2140001,,,,SIMS,,,,,3000,,,3000,,,3000,,,3000,"12,000",0.16,96
"AVON VILLAGE ASSOC, LLC",11 EAST MAIN ST,2140001,,,,SIMS,,,,,0,,,1000,,,0,,,1000,"2,000",0.03,18
"AVON VILLAGE ASSOC, LLC",17 EAST MAIN ST,2140001,,,,SIMS,,,,,2000,,,3000,,,2000,,,1000,"8,000",0.1,60
"AVON VILLAGE ASSOC, LLC",19 EAST MAIN ST,2140001,,,,SIMS,,,,,10000,,,13000,,,13000,,,5000,"41,000",0.53,318
"AVON VILLAGE ASSOC, LLC",25 EAST MAIN ST,2140001,,,,SIMS,,,,,2000,,,1000,,,2000,,,2000,"7,000",0.09,54
"AVON VILLAGE ASSOC, LLC",27 EAST MAIN ST,2140001,2140001,38,,SIMS,,,,,0,,,0,,,0,,,1000,"1,000",0.01,6
"AVON VILLAGE ASSOC, LLC",29 EAST MAIN ST,2140033,,,,SIMS,,,,,2000,,,1000,,,0,,,1000,"4,000",0.05,30
"AVON VILLAGE ASSOC, LLC",31 EAST MAIN ST,2140033,,,,SIMS,,,,,22000,,,13000,,,5000,,,5000,"45,000",0.59,354
"AVON VILLAGE ASSOC, LLC",33 EAST MAIN ST,2140033,,,,SIMS,,,,,11000,,,15000,,,12000,,,12000,"50,000",0.65,390
"AVON VILLAGE ASSOC, LLC",35 EAST MAIN ST,2140033,,,,SIMS,,,,,85000,,,36000,,,28000,,,26000,"175,000",2.28,1368
"AVON VILLAGE ASSOC, LLC",37 EAST MAIN ST,2140033,,,,SIMS,,,,,21000,,,33000,,,20000,,,11000,"85,000",1.11,666
"AVON VILLAGE ASSOC, LLC",41 EAST MAIN ST,2140033,,,,SIMS,,,,,483000,,,0,,,87000,,,86000,"656,000",8.56,5136
"AVON VILLAGE ASSOC, LLC",39 EAST MAIN ST,2140033,,,,SIMS,,,,,22000,,,32000,,,35000,,,41000,"130,000",1.7,1020
"AVON VILLAGE ASSOC, LLC",45 EAST MAIN ST,2140033,2140033,39,,SIMS,,,,,6000,,,5000,,,7000,,,6000,"24,000",0.31,186
APPLEWOODS LLC,51 East Main St - Prim,2140051,2140051,40,,SIMS,,,,,0,,,0,,,0,,,667000,667000,8.7,5220
THE ELEPHANT TRAIL REST.,85 EAST MAIN ST,2140085,2140085,41,,SIMS,,,,,75000,,,98000,,,84000,,,65000,"322,000",4.2,2520
AVON HISTORICAL SOC.,10 EAST MAIN ST,2140010,2140010,42,,SIMS,,,,,7000,,,9000,,,2000,,,10000,"28,000",0.37,222
"10 E MAIN ST AVON, LLC",20 EAST MAIN ST,2140020,2140020,43,,SIMS,,,,,10000,,,26000,,,18000,,,4000,"58,000",0.76,456
"20 EAST MAIN ST, LLC",22 EAST MAIN ST,2140022,2140022,44,,SIMS,,,,,8000,,,26000,,,2000,,,2000,"38,000",0.5,300
FLAGMAN OF AMERICA,24 EAST MAIN ST,2140024,2140024,45,,SIMS,,,,,2000,,,38000,,,12000,,,0,"52,000",0.68,408
COMPANIONS & HOMEMAKERS,28 EAST MAIN ST,2140028,,,,SIMS,,,,,0,,,0,,,1000,,,3000,"4,000",0.05,30
FRANK PENDERGAST INC.,28 EAST MAIN ST,2140028,2140028,46,,SIMS,,,,,2000,,,2000,,,1000,,,0,"5,000",0.07,42
30 EAST MAIN LLC,30 EAST MAIN ST,2140030,2140030,47,,SIMS,,,,,10000,,,50000,,,18000,,,2000,"80,000",1.04,624
JARI ASSOCIATES,32 EAST MAIN ST,2140032,2140032,48,,SIMS,,,,,61000,,,96000,,,63000,,,45000,"265,000",3.46,2076
GIFTS OF LOVE,34 EAST MAIN ST,2140034,2140034,49,,SIMS,,,,,11000,,,42000,,,9000,,,7000,"69,000",0.9,540
0Avon Medical Professionals LLC,36 EAST MAIN ST,2140036,2140036,50,,SIMS,,,,,15000,,,69000,,,40000,,,15000,"139,000",1.81,1086
"AVON PROPERTIES, LLC",56 EAST MAIN ST,2140056,,,,SIMS,,,,,44000,,,48000,,,38000,,,30000,"160,000",2.09,1254
"AVON PROPERTIES, LLC",60 EAST MAIN ST,2140056,,,,SIMS,,,,,3000,,,1000,,,0,,,1000,"5,000",0.07,42
AVON PROPERTIES LLC,70 East Main St- Prima,2140056,,,,SIMS,,,,,0,,,0,,,0,,,1387000,1387000,18.1,10860
MAXAMIA,70 EAST MAIN ST MAX ,2140056,2140056,51,,SIMS,,,,,0,,,0,,,0,,,906000,906000,11.82,7092
"PSM ENTERPRISES, LLC",80 EAST MAIN ST,2140080,2140080,52,,SIMS,,,,,25000,,,78000,,,71000,,,75000,"249,000",3.25,1950
USPOSTAL SERVICE,15 ENFORD ST,2200015,2200015,53,,SIMS,,,,,20000,,,26000,,,20000,,,20000,"86,000",1.12,672
AVON TOWN CENTER LLC,44 WEST MAIN ST,2210016,,,,SIMS,,,,,1000,,,14000,,,27000,,,27000,"69,000",0.9,540
AVON TOWN CENTER LLC,32 West Main St,2210016,,,,SIMS,,,,,0,,,2000,,,2000,,,1000,"5,000",0.07,42
AVON TOWN CENTER LLC,34 West Main St,2210016,,,,SIMS,,,,,0,,,0,,,0,,,53000,53000,0.69,414
AVON TOWN CENTER LLC,38 West Main St  - PRIM,2210016,2210016,54,,SIMS,,,,,,,,,,,,,,127000,127000,1.66,996
"HTA-80 FISHER, LLC #150416",80 Fisher Dr - Primar,2280080,2280080,55,,SIMS,,,,,0,,,0,,,0,,,115000,115000,1.5,900
"HCR MANORCARE PROP LLC, SITE 686",100 FISHER DR,2280100,,,,SIMS,,,,,378000,,,521000,,,420000,,,215000,"1,534,000",20.01,12006
"HCR MANORCARE PROP LLC, SITE 686",100 FISHER DR,2280100,2280100,56,,SIMS,,,,,376000,,,539000,,,353000,,,179000,"1,447,000",18.88,11328
FARMINGTON ACADEMY INC,150 Fisher Dr - Primar,2280150,2280150,57,,SIMS,,,,,0,,,0,,,0,,,223000,223000,2.91,1746
APN ASSOC,200 FISHER DRIVE,2280200,2280200,58,,SIMS,,,,,14000,,,131000,,,116000,,,17000,"278,000",3.63,2178
,335 HUCKLEBERRY HILL RD,2810335,2810335,59,,SIMS,,,,,0,,,0,,,0,,,0,"76,650",1,600
AVON VOLUNTEER DEPT,365 HUCKLEBERRY HILL RD,2810365,2810365,60,,SIMS,,,,,2000,,,1000,,,1000,,,2000,"6,000",0.08,48
HUNTERS RUN TAX DISTRICT,1 HUNTINGTON GLEN(CLUB,2840001,,,,SIMS,,,,,17000,,,11000,,,11000,,,11000,"50,000",0.65,390
HUNTERS RUN TAX DISTRICT,HUNTERS RUN GATE HOUSE,2840001,2840001,61,,SIMS,,,,,1000,,,103000,,,9000,,,0,"113,000",1.47,882
CONNEMARA COURT-ALSOP,27 NOD RD,3290027,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
"CONNEMARA COURT, LLC",35 NOD RD,3290027,,,,SIMS,,,,,92000,,,225000,,,321000,,,192000,"830,000",10.83,6498
"CONNEMARA COURT, LLC",45 Nod Rd - Primary Mt,3290027,,,,SIMS,,,,,0,,,0,,,0,,,30000,30000,0.39,234
NOD PROPERTIES LLC,55 Nod Rd - Primary Mt,3290027,3290027,62,,SIMS,,,,,0,,,0,,,0,,,10000,10000,0.13,78
BLUE FOX CLUBHOUSE,65 Nod Rd -Primary Mtr,3290065,3290065,63,,SIMS,,,,,0,,,0,,,0,,,147000,147000,1.92,1152
OLDCASTLE PRECAST INC.,151 OLD FARMS RD,3360151,3360151,64,,SIMS,,,,,265000,,,136000,,,176000,,,239000,"816,000",10.65,6390
OLDCASTLE PRECAST INC,154 OLD FARMS RD,3360154,3360154,65,,SIMS,,,,,48000,,,32000,,,32000,,,44000,"156,000",2.04,1224
JENNIFER CENTOFANTI,174 OLD FARMS RD,3360174,3360174,66,,SIMS,,,,,8000,,,10000,,,11000,,,12000,"41,000",0.53,318
AVON SELF-STORAGE,190 OLD FARMS RD,3360190,3360190,67,,SIMS,,,,,1000,,,1000,,,2000,,,1000,"5,000",0.07,42
Hop Meadow Brewing Co.,205 OLD FARMS RD,3360205,,,,SIMS,,,,,47000,,,60000,,,49000,,,38000,"194,000",2.53,1518
Truffles Bakery & Kitchen,205 OLD FARMS RD,3360205,,,,SIMS,,,,,0,,,0,,,6000,,,9000,"15,000",0.2,120
Cornerstone Landing,205 OLD FARMS RD,3360205,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
Cornerstone Landing,205 OLD FARMS RD,3360205,3360205,68,,SIMS,,,,,3000,,,2000,,,2000,,,2000,"9,000",0.12,72
AVON OLD FARMS SCHOOL,500 OLD FARMS RD,3360500,,,,SIMS,,,,,1114000,,,1371000,,,1018000,,,766000,"4,269,000",55.69,33414
AVON OLD FARMS SCHOOL,500 OLD FARMS RD,3360500,,,,SIMS,,,,,1175000,,,1418000,,,1240000,,,1081000,"4,914,000",64.11,38466
AVON OLD FARMS SCHOOL,500 OLD FARMS RD,3360500,3360500,69,,SIMS,,,,,22000,,,31000,,,0,,,3000,"56,000",0.73,438
0My Dog's Daycare Llc,18 SANDSCREEN RD,3820018,3820018,70,,SIMS,,,,,18000,,,19000,,,18000,,,15000,"70,000",0.91,546
TOA,106 SECRET LAKE RD,3890106,3890106,71,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
0CREC Academy of the Arts,20 SECURITY DR,3900020,,,,SIMS,,,,,115000,,,48000,,,96000,,,53000,"312,000",4.07,2442
0CREC Academy of the Arts,20 SECURITY DR,3900020,3900020,72,,SIMS,,,,,111000,,,52000,,,85000,,,60000,"308,000",4.02,2412
PMP CORP,25 Security Dr - Prima,3900025,3900025,73,,SIMS,,,,,0,,,0,,,0,,,375000,"375,000",4.89,2934
TOA,30 OLD WHEELER LANE,3410030,3410030,74,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
NORWICH COMMERCIAL GRP INC.,38 Security Dr - Prima,3900038,3900038,75,,SIMS,,,,,0,,,0,,,0,,,0,"76,650",1,600
0Mittera Group Inc,60 SECURITY DR,3900060,,,,SIMS,,,,,0,,,0,,,0,,,62000,,0,0
0Trend Offset Printing,60 SECURITY DR,3900060,3900060,76,,SIMS,,,,,0,,,1000,,,131000,,,125000,"257,000",3.35,2010
0Board Of Education,34 Simsbury Rd,3970034,3970034,77,,SIMS,,,,,28000,,,67000,,,49000,,,20000,"164,000",2.14,1284
0Brighenti Family Wellness,100 Simsbury Rd - Prim,3970100,,,,SIMS,,,,,0,,,0,,,0,,,464000,464000,6.05,3630
0Commercial Prop Adv Llc,100 Simsbury Rd - Dedu,3970100,,,,SIMS,,,,,0,,,0,,,0,,,1222000,1222000,15.94,9564
0Healthtrax - Avon,100 Simsbury Rd,3970100,3970100,78,,SIMS,,,,,250000,,,215000,,,181000,,,163000,"809,000",10.55,6330
0Northwest Community Bank,101 SIMSBURY RD,3970101,3970101,79,,SIMS,,,,,23000,,,216000,,,38000,,,5000,"282,000",3.68,2208
0Avon Office Commons Assoc.,111 SIMSBURY RD,3971111,3971111,80,,SIMS,,,,,52000,,,30000,,,51000,,,101000,"234,000",3.05,1830
0The Residence At Brookside,117 Simsbury Rd - prim,3970117,3970117,81,,SIMS,,,,,0,,,0,,,0,,,1753000,"1,753,000",22.87,13722
fred patton,145 SIMSBURY RD,3970145,3970145,82,,SIMS,,,,,2000,,,3000,,,2000,,,2000,"9,000",0.12,72
147 ASSOCIATES,147 SIMSBURY RD,3970147,3970147,83,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
0New Eng Guild Wealth Adv.,139 SIMSBURY RD,3970139,,,,SIMS,,,,,0,,,3000,,,3000,,,3000,"9,000",0.12,72
0DH 139 Simsbury Rd LLC,139 SIMSBURY RD,3970139,3970139,84,,SIMS,,,,,2000,,,1000,,,0,,,0,"3,000",0.04,24
0Commercial Prop Adv Llc,120 SIMSBURY RD,3970124,,,,SIMS,,,,,3000,,,4000,,,11000,,,11000,"29,000",0.38,228
0Commercial Prop Adv Llc,120 SIMSBURY RD,3970124,,,,SIMS,,,,,1000,,,116000,,,74000,,,0,"191,000",2.49,1494
0Riverdale Farms (irr#3),140 Simsbury Rd - #3 -,3970124,,,N,SIMS,,,,,45000,,,54000,,,60000,,,0,"159,000",2.07,1242
0Educational Playcare,140 Simsbury Rd,3970124,,,,SIMS,,,,,3000,,,2000,,,2000,,,1000,"8,000",0.1,60
0Avon Clock & Lighting,144 Simsbury Rd,3970124,,,,SIMS,,,,,0,,,1000,,,0,,,0,"1,000",0.01,6
0Educational Playcare #7,144 Simsbury Rd,3970124,,,,SIMS,,,,,6000,,,6000,,,4000,,,5000,"21,000",0.27,162
0Educational Playcare  #7,146 Simsbury Rd,3970124,,,,SIMS,,,,,32000,,,34000,,,42000,,,35000,"143,000",1.87,1122
0Avon Clock & Lighting,146 Simsbury Rd,3970124,,,,SIMS,,,,,2000,,,2000,,,1000,,,3000,"8,000",0.1,60
0Avon Wines & Spirits,146 Simsbury Rd,3970124,,,,SIMS,,,,,1000,,,1000,,,2000,,,4000,"8,000",0.1,60
0Riverdale Farms,146 Simsbury Rd - #7 I,3970124,,,,SIMS,,,,,36000,,,53000,,,41000,,,0,"130,000",1.7,1020
0Riverdale Farms (Foresight),152 Simsbury Rd,3970124,,,,SIMS,,,,,0,,,0,,,1000,,,2000,"3,000",0.04,24
0Riverdale Farms (offices),152 Simsbury Rd,3970124,,,,SIMS,,,,,2000,,,1000,,,2000,,,2000,"7,000",0.09,54
0Koster Family Chiropractic,152 Simsbury Rd,3970124,,,,SIMS,,,,,1000,,,2000,,,2000,,,2000,"7,000",0.09,54
0BAM PT and Wellness Center,152 Simsbury Rd,3970124,,,,SIMS,,,,,1000,,,0,,,0,,,1000,"2,000",0.03,18
0Lux Hair Co.,152 Simsbury Rd,3970124,,,,SIMS,,,,,0,,,32000,,,37000,,,33000,"102,000",1.33,798
0Riverdale Farms (#19 Irr),152 Simsbury Rd - #19,3970124,,,N,SIMS,,,,,24000,,,35000,,,29000,,,0,"88,000",1.15,690
0Riverdale Farms -(#9 Irr),152 Simsbury Rd - #9 -,3970124,,,N,SIMS,,,,,30000,,,43000,,,34000,,,0,"107,000",1.4,840
152 Simsbury Rd Bathro,152 Simsbury Rd,3970124,,,,SIMS,,,,,12000,,,13000,,,11000,,,11000,"47,000",0.61,366
0Little City Pizza,152 Simsbury Rd,3970124,,,,SIMS,,,,,55000,,,74000,,,45000,,,33000,"207,000",2.7,1620
0Educational Playcare #8,152 Simsbury Rd,3970124,,,,SIMS,,,,,94000,,,241000,,,221000,,,46000,"602,000",7.85,4710
0Educational Playcare #19,152 Simsbury Rd,3970124,,,,SIMS,,,,,66000,,,88000,,,21000,,,18000,"193,000",2.52,1512
0Ekkalak Thai Cuisine,136 SIMSBURY RD,3970124,,,,SIMS,,,,,0,,,25000,,,8000,,,17000,"50,000",0.65,390
0Toshi Japanese Restaurant,136 SIMSBURY RD,3970124,,,,SIMS,,,,,53000,,,52000,,,42000,,,55000,"202,000",2.64,1584
0RSB78 LLC,136 SIMSBURY RD,3970124,,,,SIMS,,,,,36000,,,0,,,0,,,0,"36,000",0.47,282
0Somewhere in Bangkok,136 SIMSBURY RD,3970124,,,,SIMS,,,,,42000,,,57000,,,0,,,0,"99,000",1.29,774
0Riverdale Farms,136 SIMSBURY RD,3970124,,,,SIMS,,,,,0,,,1000,,,0,,,2000,"3,000",0.04,24
0The Lime Bar,136 SIMSBURY RD,3970124,,,,SIMS,,,,,44000,,,74000,,,332000,,,396000,"846,000",11.04,6624
0Riverdale Farms Irr 14,136 Simsbury Rd - Bld,3970124,,,N,SIMS,,,,,8000,,,9000,,,9000,,,0,"26,000",0.34,204
