"PROP   ","CARD#","1LTYPE","1CODE","1ACRES                           ","1SQFT                         ","1RATE                         ","1INFL","1PERC                           ","1VALUE                        ","2LTYPE","2CODE","2ACRES                           ","2SQFT                         ","2RATE                         ","2INFL","2PERC                           ","2VALUE                        ","3LTYPE","3CODE","3ACRES                           ","3SQFT                         ","3RATE                         ","3INFL","3PERC                           ","3VALUE                        ","4LTYPE","4CODE","4ACRES                           ","4SQFT                         ","4RATE                         ","4INFL","4PERC                           ","4VALUE                        ","TSEQ                          ","DLC        " 
"1050027","01","PRIM","11",                             .690,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16723,"20-Jun-2023" 
"1050028","01","PRIM","11",                             .690,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16724,"20-Jun-2023" 
"1050033","01","PRIM","11",                             .700,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16460,"16-Jun-2023" 
"1050034","01","PRIM","11",                             .700,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16727,"20-Jun-2023" 
"1050037","01","PRIM","11",                             .800,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16728,"20-Jun-2023" 
"1050038","01","PRIM","11",                             .750,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1060008","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .120,                              ,                          7500,"  ",                                ,                           900,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18361,"13-Sep-2023" 
"1060014","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18362,"13-Sep-2023" 
"1060020","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .080,                              ,                          7500,"  ",                                ,                           600,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18363,"13-Sep-2023" 
"1060025","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .150,                              ,                          7500,"  ",                                ,                          1125,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18364,"13-Sep-2023" 
"1060028","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .110,                              ,                          7500,"  ",                                ,                           825,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18365,"13-Sep-2023" 
"1060031","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .530,                              ,                          7500,"  ",                                ,                          3975,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18366,"13-Sep-2023" 
"1060035","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .840,                              ,                          7500,"  ",                                ,                          6300,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18367,"13-Sep-2023" 
"1060038","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .020,                              ,                          7500,"  ",                                ,                           150,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18368,"13-Sep-2023" 
"1060043","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .090,                              ,                          7500,"  ",                                ,                           675,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18369,"13-Sep-2023" 
"1060044","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                            3.300,                              ,                          7500,"  ",                                ,                         24750,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18370,"13-Sep-2023" 
"1060049","01","PRIM","11",                             .720,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18371,"13-Sep-2023" 
"1060051","01","PRIM","11",                             .680,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18372,"13-Sep-2023" 
"1060054","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .070,                              ,                          7500,"  ",                                ,                           525,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18373,"13-Sep-2023" 
"1060059","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18374,"13-Sep-2023" 
"1060064","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .020,                              ,                          7500,"  ",                                ,                           150,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18375,"13-Sep-2023" 
"1060065","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18376,"13-Sep-2023" 
"1060067","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                            1.630,                              ,                          7500,"  ",                                ,                         12225,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18377,"13-Sep-2023" 
"1060069","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18378,"13-Sep-2023" 
"1060075","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .030,                              ,                          7500,"  ",                                ,                           225,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18379,"13-Sep-2023" 
"1060076","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18380,"13-Sep-2023" 
"1060079","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .950,                              ,                          7500,"  ",                                ,                          7125,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18381,"13-Sep-2023" 
"1060081","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18382,"13-Sep-2023" 
"1060086","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18383,"13-Sep-2023" 
"1060089","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18384,"13-Sep-2023" 
"1060092","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18385,"13-Sep-2023" 
"1060104","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .020,                              ,                          7500,"  ",                                ,                           150,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18386,"13-Sep-2023" 
"1060107","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18387,"13-Sep-2023" 
"1060112","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .390,                              ,                          7500,"  ",                                ,                          2925,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18388,"13-Sep-2023" 
"1060113","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18389,"13-Sep-2023" 
"1060118","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18390,"13-Sep-2023" 
"1060121","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18391,"13-Sep-2023" 
"1060122","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .290,                              ,                          7500,"  ",                                ,                          2175,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18392,"13-Sep-2023" 
"1060128","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .320,                              ,                          7500,"  ",                                ,                          2400,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18393,"13-Sep-2023" 
"1060133","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18394,"13-Sep-2023" 
"1060134","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18395,"13-Sep-2023" 
"1060139","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .380,                              ,                          7500,"  ",                                ,                          2850,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18396,"13-Sep-2023" 
"1060142","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18397,"13-Sep-2023" 
"1060143","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"RES ","12",                             .010,                              ,                          7500,"  ",                                ,                            75,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18398,"13-Sep-2023" 
"1060147","01","PRIM","11",                             .920,                              ,                        165000,"  ",                                ,                        165000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18399,"13-Sep-2023" 
