"LIST ","DATE      ","TIME    ","TYPE","AMT1                            ","INT1                            ","AMT2                            ","INT2                            ","LIEN                            ","FEES                            ","DESC                    ","CERT#  ","SEQ    ","AGROSS                        ","BATCH","YR  " 
"00047","07-26-2021","        ","P ",                         9043.24,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00047","01-21-2022","        ","P ",                            0.00,                            0.00,                         9043.24,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00048","07-26-2021","        ","P ",                        14820.97,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00048","01-21-2022","        ","P ",                            0.00,                            0.00,                        14820.97,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00049","08-02-2021","        ","P ",                         4387.95,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    106,                             0,"0072","2020" 
"00049","01-31-2022","        ","P ",                            0.00,                            0.00,                         4387.94,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      1,                             0,"0254","2020" 
"00050","06-22-2021","        ","P ",                         3275.27,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    157,                             0,"0400","2020" 
"00050","12-15-2021","        ","P ",                            0.00,                            0.00,                         3275.26,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     17,                             0,"0193","2020" 
"00051","06-24-2021","        ","P ",                         2155.23,                            0.00,                         2155.23,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0406","2020" 
"00052","07-26-2021","        ","P ",                         3735.56,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00052","12-10-2021","        ","P ",                            0.00,                            0.00,                         3735.56,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     32,                             0,"0191","2020" 
"00053","07-26-2021","        ","P ",                         4884.34,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00053","12-21-2021","        ","P ",                            0.00,                            0.00,                         4884.33,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0199","2020" 
"00054","07-29-2021","        ","P ",                         6504.01,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     96,                             0,"0061","2020" 
"00054","01-25-2022","        ","P ",                            0.00,                            0.00,                         6504.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     18,                             0,"0241","2020" 
"00055","07-16-2021","        ","P ",                         3716.06,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    103,                             0,"0029","2020" 
"00055","12-07-2021","        ","P ",                            0.00,                            0.00,                         3716.06,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      3,                             0,"0186","2020" 
"00056","07-28-2021","        ","P ",                         6486.56,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0057","2020" 
"00056","01-27-2022","        ","P ",                            0.00,                            0.00,                         6486.56,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0245","2020" 
"00057","06-23-2021","        ","P ",                         4146.25,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     60,                             0,"0402","2020" 
"00057","08-10-2021","        ","P ",                            0.00,                            0.00,                         4146.25,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     46,                             0,"0083","2020" 
"00058","06-23-2021","        ","P ",                         5013.14,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     23,                             0,"0402","2020" 
"00058","12-21-2021","        ","P ",                            0.00,                            0.00,                         5013.13,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0199","2020" 
"00059","08-02-2021","        ","P ",                         5125.86,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     86,                             0,"0069","2020" 
"00059","12-28-2021","        ","P ",                            0.00,                            0.00,                         5125.85,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    104,                             0,"0209","2020" 
"00060","07-06-2021","        ","P ",                         6651.45,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0003","2020" 
"00060","12-30-2021","        ","P ",                            0.00,                            0.00,                         6651.45,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    237,                             0,"0212","2020" 
"00062","07-26-2021","        ","P ",                         5672.02,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00062","01-21-2022","        ","P ",                            0.00,                            0.00,                         5672.02,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00063","07-26-2021","        ","P ",                         7641.83,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00063","01-21-2022","        ","P ",                            0.00,                            0.00,                         7641.83,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00064","07-26-2021","        ","P ",                         5042.73,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00064","12-21-2021","        ","P ",                            0.00,                            0.00,                         5042.72,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0199","2020" 
"00065","06-01-2021","        ","A ",                         -330.00,                            0.00,                         -330.00,                            0.00,                            0.00,                            0.00,"HOMEOWNER BENEFIT       ",      0,      0,                             0,"0000","2020" 
"00065","07-29-2021","        ","P ",                         3475.69,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    156,                             0,"0061","2020" 
"00065","01-10-2022","        ","P ",                            0.00,                            0.00,                         3475.69,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    183,                             0,"0220","2020" 
"00066","07-26-2021","        ","P ",                         7575.64,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00066","12-21-2021","        ","P ",                            0.00,                            0.00,                         7575.63,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0199","2020" 
"00067","07-26-2021","        ","P ",                         5337.10,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00067","01-21-2022","        ","P ",                            0.00,                            0.00,                         5337.10,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00068","07-26-2021","        ","P ",                         1720.59,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00068","12-21-2021","        ","P ",                            0.00,                            0.00,                         1720.59,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0199","2020" 
"00069","07-26-2021","        ","P ",                         4993.64,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00069","01-21-2022","        ","P ",                            0.00,                            0.00,                         4993.63,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00070","07-26-2021","        ","P ",                         8078.87,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00070","01-21-2022","        ","P ",                            0.00,                            0.00,                         8078.86,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00071","07-26-2021","        ","P ",                         4058.85,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00071","01-06-2022","        ","P ",                            0.00,                            0.00,                         4058.84,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     12,                             0,"0216","2020" 
