PARCEL_ID,STREET,Current_Connection,COMACT,Wtr_Supp,DOM_WATER,SDATE,Sold_2021,low2_dbld_values,charge_1000_gals,low 2 x base(4.53),calc minimum 180,Oct_Cost_Num,April_Cost,Calc_Tot_Ann_Cost, Tot_Ann_Cost_num ,
1040005,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,1-Oct-07,N/A,36,$4.53 ,$163.08 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040006,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,30-Jul-19,N/A,38,$4.53 ,$172.14 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040007,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,4-May-18,N/A,20,$4.53 ,$90.60 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040008,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,16-Aug-19,N/A,8,$4.53 ,$36.24 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040009,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,27-Jul-93,N/A,26,$4.53 ,$117.78 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040010,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,19-Jun-17,N/A,24,$4.53 ,$108.72 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040011,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,13-Jun-18,N/A,58,$4.53 ,$262.74 ,$262.74 ,$262.74 ,$257.50 ,$520.24 ,$520.24 ,
1040012,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,3-Jun-14,N/A,0,$4.53 , $-   ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040013,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,26-Sep-19,N/A,32,$4.53 ,$144.96 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1060049,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,31-Dec-14,N/A,28,$4.53 ,$126.84 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1060051,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,18-May-10,N/A,72,$4.53 ,$326.16 ,$326.16 ,$326.16 ,$257.50 ,$583.66 ,$583.66 ,
1060054,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,27-Jul-09,N/A,84,$4.53 ,$380.52 ,$380.52 ,$380.52 ,$257.50 ,$638.02 ,$638.02 ,
1060059,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,2-Apr-87,N/A,38,$4.53 ,$172.14 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1060064,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,24-Jun-80,N/A,36,$4.53 ,$163.08 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1060065,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,28-Sep-20,N/A,32,$4.53 ,$144.96 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1060069,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,17-May-05,N/A,86,$4.53 ,$389.58 ,$389.58 ,$389.58 ,$257.50 ,$647.08 ,$647.08 ,
1060075,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,3-Jun-08,N/A,136,$4.53 ,$616.08 ,$616.08 ,$616.08 ,$257.50 ,$873.58 ,$873.58 ,
1060076,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,15-Sep-82,N/A,30,$4.53 ,$135.90 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1060079,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,18-Nov-10,N/A,30,$4.53 ,$135.90 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1060081,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,17-Jun-81,N/A,90,$4.53 ,$407.70 ,$407.70 ,$407.70 ,$257.50 ,$665.20 ,$665.20 ,
1060086,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,5-Dec-05,N/A,40,$4.53 ,$181.20 ,$181.20 ,$181.20 ,$257.50 ,$438.70 ,$438.70 ,
1060089,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,18-Sep-18,N/A,44,$4.53 ,$199.32 ,$199.32 ,$199.32 ,$257.50 ,$456.82 ,$456.82 ,
1060092,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,16-Jun-10,N/A,88,$4.53 ,$398.64 ,$398.64 ,$398.64 ,$257.50 ,$656.14 ,$656.14 ,
1060104,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,22-Oct-13,N/A,58,$4.53 ,$262.74 ,$262.74 ,$262.74 ,$257.50 ,$520.24 ,$520.24 ,
1060107,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,4-Dec-89,N/A,90,$4.53 ,$407.70 ,$407.70 ,$407.70 ,$257.50 ,$665.20 ,$665.20 ,
1060112,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,8-Apr-83,N/A,58,$4.53 ,$262.74 ,$262.74 ,$262.74 ,$257.50 ,$520.24 ,$520.24 ,
1060113,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,26-Apr-05,N/A,90,$4.53 ,$407.70 ,$407.70 ,$407.70 ,$257.50 ,$665.20 ,$665.20 ,
1060118,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,13-Aug-09,N/A,54,$4.53 ,$244.62 ,$244.62 ,$244.62 ,$257.50 ,$502.12 ,$502.12 ,
1060121,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,28-Nov-95,N/A,72,$4.53 ,$326.16 ,$326.16 ,$326.16 ,$257.50 ,$583.66 ,$583.66 ,
1060122,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,9-May-11,N/A,16,$4.53 ,$72.48 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1060128,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,15-Apr-83,N/A,72,$4.53 ,$326.16 ,$326.16 ,$326.16 ,$257.50 ,$583.66 ,$583.66 ,
1060133,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,17-Sep-07,N/A,48,$4.53 ,$217.44 ,$217.44 ,$217.44 ,$257.50 ,$474.94 ,$474.94 ,
1060134,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,4-May-83,N/A,40,$4.53 ,$181.20 ,$181.20 ,$181.20 ,$257.50 ,$438.70 ,$438.70 ,
1060139,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,4-Oct-17,N/A,50,$4.53 ,$226.50 ,$226.50 ,$226.50 ,$257.50 ,$484.00 ,$484.00 ,
1060142,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,1-Jul-16,N/A,40,$4.53 ,$181.20 ,$181.20 ,$181.20 ,$257.50 ,$438.70 ,$438.70 ,
1060143,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,23-Nov-98,N/A,134,$4.53 ,$607.02 ,$607.02 ,$607.02 ,$257.50 ,$864.52 ,$864.52 ,
1060147,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,4-Dec-18,N/A,22,$4.53 ,$99.66 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1060151,ANVIL DRIVE,TOASewer,RES,PUBLIC,PUBLIC,4-Oct-83,N/A,36,$4.53 ,$163.08 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070001,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,24-May-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1070002,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,1-Aug-97,N/A,30,$4.53 ,$135.90 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070003,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,6-Jan-04,N/A,12,$4.53 ,$54.36 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070004,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,8-Jul-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1070005,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,20-Nov-81,N/A,24,$4.53 ,$108.72 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070006,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,5-Oct-20,N/A,22,$4.53 ,$99.66 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070007,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,27-Oct-05,N/A,50,$4.53 ,$226.50 ,$226.50 ,$226.50 ,$257.50 ,$484.00 ,$484.00 ,
1070008,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,24-Feb-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1070009,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,12-Dec-16,N/A,12,$4.53 ,$54.36 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070010,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,30-Sep-09,N/A,24,$4.53 ,$108.72 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070011,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,19-Jun-12,N/A,40,$4.53 ,$181.20 ,$181.20 ,$181.20 ,$257.50 ,$438.70 ,$438.70 ,
1070012,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,18-Aug-16,N/A,8,$4.53 ,$36.24 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070013,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,8-Nov-02,N/A,12,$4.53 ,$54.36 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070014,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,31-Jan-13,N/A,10,$4.53 ,$45.30 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070015,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,26-May-20,N/A,12,$4.53 ,$54.36 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070016,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,2-Jul-18,N/A,96,$4.53 ,$434.88 ,$434.88 ,$434.88 ,$257.50 ,$692.38 ,$692.38 ,
1070017,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,8-Jul-05,N/A,34,$4.53 ,$154.02 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070018,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,25-Jul-86,N/A,20,$4.53 ,$90.60 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070019,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,2-Dec-20,N/A,34,$4.53 ,$154.02 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070020,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,25-May-18,N/A,18,$4.53 ,$81.54 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070021,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,18-May-99,N/A,22,$4.53 ,$99.66 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070022,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,20-Sep-94,N/A,30,$4.53 ,$135.90 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070023,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,7-Dec-20,N/A,6,$4.53 ,$27.18 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070024,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,22-Apr-19,N/A,36,$4.53 ,$163.08 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070025,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,3-Jun-20,N/A,32,$4.53 ,$144.96 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070026,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,26-Nov-03,N/A,18,$4.53 ,$81.54 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070027,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,10-Sep-07,N/A,58,$4.53 ,$262.74 ,$262.74 ,$262.74 ,$257.50 ,$520.24 ,$520.24 ,
1070028,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,15-Dec-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1070029,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,4-Jan-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1070030,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,2-Nov-87,N/A,34,$4.53 ,$154.02 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070031,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,20-Aug-09,N/A,0,$4.53 , $-   ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070032,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,15-May-92,N/A,16,$4.53 ,$72.48 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070033,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,16-Oct-20,N/A,16,$4.53 ,$72.48 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070034,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,18-Jun-91,N/A,0,$4.53 , $-   ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070035,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,22-Oct-93,N/A,34,$4.53 ,$154.02 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070036,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,2-Oct-80,N/A,18,$4.53 ,$81.54 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070037,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,28-May-19,N/A,42,$4.53 ,$190.26 ,$190.26 ,$190.26 ,$257.50 ,$447.76 ,$447.76 ,
1070038,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,25-Feb-20,N/A,6,$4.53 ,$27.18 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070039,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,1-Aug-97,N/A,22,$4.53 ,$99.66 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070040,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,5-Sep-17,N/A,16,$4.53 ,$72.48 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070041,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,18-Dec-14,N/A,32,$4.53 ,$144.96 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070042,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,19-Jul-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1070043,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,6-May-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1070044,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,6-Apr-15,N/A,24,$4.53 ,$108.72 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070045,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,31-May-13,N/A,20,$4.53 ,$90.60 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070046,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,2-Sep-11,N/A,34,$4.53 ,$154.02 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1070047,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,9-May-17,N/A,52,$4.53 ,$235.56 ,$235.56 ,$235.56 ,$257.50 ,$493.06 ,$493.06 ,
1070048,APPLEWOOD LANE,TOASewer,RES,PUBLIC,PUBLIC,1-Feb-91,N/A,28,$4.53 ,$126.84 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
5820010,ARBOR ROAD,TOASewer,RES,PUBLIC,PUBLIC,16-Sep-16,N/A,38,$4.53 ,$172.14 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
5820020,ARBOR ROAD,TOASewer,RES,WELL,PRIVATE,N/A,N/A,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1100004,ARDSLEY WAY,TOASewer,RES,PUBLIC,PUBLIC,22-Sep-16,N/A,50,$4.53 ,$226.50 ,$226.50 ,$226.50 ,$257.50 ,$484.00 ,$484.00 ,
1100005,ARDSLEY WAY,TOASewer,RES,PUBLIC,PUBLIC,18-Jul-91,N/A,40,$4.53 ,$181.20 ,$181.20 ,$181.20 ,$257.50 ,$438.70 ,$438.70 ,
1100010,ARDSLEY WAY,TOASewer,RES,PUBLIC,PUBLIC,16-May-94,N/A,50,$4.53 ,$226.50 ,$226.50 ,$226.50 ,$257.50 ,$484.00 ,$484.00 ,
