"PROP   ","CARD#","_ACODE","_BCODE","_CCODE","_DCODE","_ECODE","_FCODE","_GCODE","_HCODE","_ICODE","_JCODE","_KCODE","_LCODE","_MCODE","_NCODE","_OCODE","_PCODE","_QCODE","_RCODE","PRISH                          ","BLDYR","RMDYR","EFYRBLD","CONSTR","B1PER                           ","B1USE","B2PER                           ","B2USE","F1PER                           ","F1USE","F2PER                           ","F2USE","S1PER                           ","S1USE","S2PER                           ","S2USE","T1PER                           ","T1USE","T2PER                           ","T2USE","U1PER                           ","U1USE","U2PER                           ","U2USE","B1PRADJ                         ","B2PRADJ                         ","F1PRADJ                         ","F2PRADJ                         ","S1PRADJ                         ","S2PRADJ                         ","T1PRADJ                         ","T2PRADJ                         ","U1PRADJ                         ","U2PRADJ                         ","B1VALUE                       ","B2VALUE                       ","F1VALUE                       ","F2VALUE                       ","S1VALUE                       ","S2VALUE                       ","T1VALUE                       ","T2VALUE                       ","U1VALUE                       ","U2VALUE                       ","1OCODE","1OSIZE                        ","1OQTY                         ","1OVAL                         ","2OCODE","2OSIZE                        ","2OQTY                         ","2OVAL                         ","3OCODE","3OSIZE                        ","3OQTY                         ","3OVAL                         ","4OCODE","4OSIZE                        ","4OQTY                         ","4OVAL                         ","5OCODE","5OSIZE                        ","5OQTY                         ","5OVAL                         ","MAIN_AREA                     ","AT_AREA                       ","MAIN_VALUE                    ","BSMT_VALUE                    ","HEAT_VALUE                    ","PLUMB_VALUE                   ","AT_VALUE                      ","T_OTHER_VALUE                 ","C_D_FACTOR                      ","CDU","DEPREC                        ","LIV_VALUE                     ","CAR_VALUE                     ","BEDRM_VALUE                   ","BATH_VALUE                    ","GRADE_VALUE                   ","LAND_VALUE                    ","POOL_VALUE                    ","TENNIS_VALUE                  ","SHED_VALUE                    ","MADJ_VALUE                    ","MREASON                               ","CONDO_STYLE","TSEQ                          ","DLC        " 
"1830005","01","53","05","01","01","01","02","02","02","02","01","33","  ","01","01","01","05","05","05",                               ,"1989","    ","    "," ",                           83.00,"91",                                ,"  ",                          100.00,"53",                                ,"  ",                           83.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                                ,                          130.45,                                ,                          104.36,                                ,                                ,                                ,                                ,                                ,                         65530,                              ,                        344390,                              ,                        228650,                              ,                              ,                              ,                              ,                              ,"CP7 ",                           512,                              ,                         11390,"    ",                              ,                              ,                              ,"CP7 ",                           368,                              ,                          8190,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          2640,                              ,                        426481,                        298537,                              ,                              ,                              ,                              ,                            1.00,"  ",                            40,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          5539,"18-Oct-2018" 
"1830050","01","34","03","09","01","01","02","01","08","02","02","53","  ","  ","  ","01","05","05","06",                               ,"2019","    ","    "," ",                                ,"  ",                                ,"  ",                          100.00,"34",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                           93.75,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                       4229810,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"EL2 ",                              ,                             1,                         40100,"SS1 ",                         45118,                              ,                         94750,"CP7 ",                          1500,                              ,                         33380,"MZ2 ",                          4108,                              ,                        124470,"LD5 ",                              ,                             2,                          9500,                         45118,                              ,                       8973380,                       6281370,                              ,                              ,                              ,                              ,                            1.20,"  ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          6108,"24-May-2021" 
"1830050","02","34","03","09","05","01","02","02","02","02","02","53","  ","  ","  ","01","05","05","05",                               ,"2020","    ","    "," ",                                ,"  ",                                ,"  ",                          100.00,"34",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                           93.75,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                       2496840,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         26633,                              ,                       2059900,                       1441930,                              ,                              ,                              ,                              ,                            1.00,"  ",                            50,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          6706,"20-Mar-2024" 
"1830050","03","34","01","09","05","01","02","01","02","02","02","53","  ","  ","  ","01","05","05","05",                               ,"2020","    ","    "," ",                                ,"  ",                                ,"  ",                          100.00,"34",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                           93.75,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                        290440,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          3098,                              ,                        311500,                        218050,                              ,                              ,                              ,                              ,                            1.00,"  ",                            35,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          6707,"20-Mar-2024" 
"1940160","01","31","02","01","01","01","02","02","02","02","02","33","  ","04","  ","01","05","05","05",                               ,"    ","    ","1990"," ",                                ,"  ",                                ,"  ",                          100.00,"31",                                ,"  ",                           62.00,"31",                                ,"  ",                           16.00,"31",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                          119.88,                                ,                           95.90,                                ,                           95.90,                                ,                                ,                                ,                              ,                              ,                       2590010,                              ,                       1284580,                              ,                        331530,                              ,                              ,                              ,"EL1 ",                              ,                             1,                         50000,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         21605,                              ,                       2298310,                       1608820,                              ,                              ,                              ,                              ,                            1.00,"  ",                            50,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          4828,"17-Apr-2015" 
"1940160","02","34","03","01","02","01","02","02","02","02","01","40","  ","01","01","01","05","05","05",                               ,"1980","    ","    "," ",                          100.00,"84",                                ,"  ",                           35.00,"34",                                ,"  ",                           65.00,"86",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                                ,                           84.38,                                ,                           31.91,                                ,                                ,                                ,                                ,                                ,                        178800,                              ,                        176520,                              ,                        124000,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          5978,                              ,                        392560,                        274790,                              ,                              ,                              ,                              ,                            1.00,"  ",                            35,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          2805,"30-Sep-2008" 
"1940199","01","47","10","06","01","01","05","01","02","02","04","30","  ","04","  ","02","05","05","05",                               ,"1988","    ","    "," ",                                ,"  ",                                ,"  ",                          100.00,"47",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                           70.99,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                        931740,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"AC1 ",                          1000,                              ,                          4000,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         13125,                              ,                        327510,                        229260,                              ,                              ,                              ,                              ,                            1.00,"  ",                            65,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          4827,"17-Apr-2015" 
"1940280","01","92","01","01","01","03","01","  ","  ","  ","01","40","  ","  ","  ","01","05","05","  ",                               ,"1848","    ","    "," ",                           78.00,"91",                           22.00,"86",                          100.00,"92",                                ,"  ",                           22.00,"92",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                           29.91,                          146.25,                                ,                          117.00,                                ,                                ,                                ,                                ,                                ,                        312740,                         88200,                       1960480,                              ,                        345030,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         13405,                              ,                       1705064,                       1193545,                              ,                              ,                              ,                              ,                            1.00,"  ",                            50,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          5246,"28-Jun-2018" 
"1940281","01","53","03","01","01","01","02","02","02","02","02","50","  ","  ","  ","01","05","05","  ",                               ,"1982","    ","2012"," ",                                ,"  ",                                ,"  ",                          100.00,"53",                                ,"  ",                           70.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                          144.94,                                ,                          149.07,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                       3356520,                              ,                       2416570,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         23158,                              ,                      11051140,                       7735800,                              ,                              ,                              ,                              ,                            1.30,"  ",                             5,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          6549,"28-Aug-2023" 
"1940296","01","53","01","01","01","01","02","02","02","02","01","40","99","01","01","01","05","05","05",                               ,"1989","    ","    "," ",                          100.00,"84",                                ,"  ",                          100.00,"53",                                ,"  ",                           56.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                                ,                          151.32,                                ,                          104.36,                                ,                                ,                                ,                                ,                                ,                         74800,                              ,                        378450,                              ,                        146210,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          2501,                              ,                        528720,                        370100,                              ,                              ,                              ,                              ,                            1.00,"  ",                            30,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          5024,"04-Oct-2016" 
"1940296","02","53","01","01","01","01","02","02","02","02","01","40","99","01","01","01","05","05","05",                               ,"1989","    ","    "," ",                          100.00,"84",                                ,"  ",                          100.00,"53",                                ,"  ",                           66.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                                ,                          130.45,                                ,                          104.36,                                ,                                ,                                ,                                ,                                ,                         44980,                              ,                        196200,                              ,                        103630,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          1504,                              ,                        304120,                        212880,                              ,                              ,                              ,                              ,                            1.00,"  ",                            30,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          2808,"30-Sep-2008" 
"1940296","03","53","01","01","01","01","02","02","02","02","01","40","99","01","02","01","05","05","05",                               ,"1989","    ","    "," ",                           97.00,"86",                                ,"  ",                          100.00,"53",                                ,"  ",                           82.00,"11",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                                ,                          130.45,                                ,                           68.40,                                ,                                ,                                ,                                ,                                ,                         44980,                              ,                        202330,                              ,                         87000,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          1551,                              ,                        294860,                        206400,                              ,                              ,                              ,                              ,                            1.00,"  ",                            30,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          2809,"30-Sep-2008" 
"1940300","01","34","01","01","01","01","02","02","02","02","01","40","  ","01","01","01","05","05","  ",                               ,"1987","    ","    "," ",                          100.00,"91",                                ,"  ",                          100.00,"34",                                ,"  ",                           54.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                                ,                           84.38,                                ,                          104.36,                                ,                                ,                                ,                                ,                                ,                         73700,                              ,                        207910,                              ,                        138900,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          2464,                              ,                        423874,                        296712,                              ,                              ,                              ,                              ,                            1.00,"  ",                            20,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          5543,"18-Oct-2018" 
"1940301","01","58","01","01","01","01","02","02","07","02","01","43","  ","02","02","01","06","06","  ",                               ,"2005","    ","    "," ",                           35.00,"91",                           35.00,"86",                          100.00,"58",                                ,"  ",                           17.00,"81",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                           29.91,                          116.55,                                ,                           68.40,                                ,                                ,                                ,                                ,                                ,                         90630,                         90630,                       1008970,                              ,                        100680,                              ,                              ,                              ,                              ,                              ,"CP7 ",                          1664,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          8657,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                            1.00,"  ",                            10,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          4714,"21-Jul-2014" 
"1940301","02","53","01","05","05","01","02","02","02","02","01","30","  ","01","01","01","03","03","03",                               ,"1972","    ","    "," ",                          100.00,"91",                                ,"  ",                          100.00,"53",                                ,"  ",                           83.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                                ,                          130.45,                                ,                          104.36,                                ,                                ,                                ,                                ,                                ,                         72140,                              ,                        314650,                              ,                        208930,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          2412,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                            1.00,"  ",                            50,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          4715,"21-Jul-2014" 
"2020022","01","52","01","05","05","01","02","02","02","02","02","40","  ","01","01","06","05","05","  ",                               ,"2019","    ","    "," ",                                ,"  ",                                ,"  ",                           50.00,"52",                           50.00,"53",                           50.00,"52",                           50.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                          168.63,                          144.94,                          134.90,                          115.95,                                ,                                ,                                ,                                ,                              ,                              ,                        539620,                        463810,                        431680,                        371040,                              ,                              ,                              ,                              ,"EL1 ",                              ,                             1,                         50000,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          6400,                              ,                       1520190,                       1064130,                              ,                              ,                              ,                              ,                            1.00,"  ",                            35,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          6350,"18-Apr-2023" 
"2020027","01","51","01","01","01","01","02","02","02","02","01","50","99","02","02","01","05","05","05",                               ,"1999","    ","    "," ",                           50.00,"86",                           50.00,"91",                          100.00,"51",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                           29.91,                          151.32,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                         42110,                         42110,                        426120,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"BE0 ",                           160,                              ,                         43370,"BE1 ",                              ,                             1,                         11000,"BE2 ",                              ,                             1,                         25250,"BC1 ",                           500,                              ,                         13650,"    ",                              ,                              ,                              ,                          2816,                              ,                        795260,                        556680,                              ,                              ,                              ,                              ,                            1.00,"  ",                            15,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          6118,"09-Jul-2021" 
"2020027","02","52","01","01","01","01","02","02","02","02","01","33","  ","01","01","01","05","05","  ",                               ,"2008","    ","    "," ",                          100.00,"86",                                ,"  ",                          100.00,"52",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                                ,                          151.77,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                        105280,                              ,                        534230,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          3520,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                            1.00,"  ",                             5,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          3074,"22-Apr-2009" 
"2020034","01","53","03","05","05","01","02","02","07","02","02","30","99","01","  ","01","05","05","05",                               ,"1984","    ","    "," ",                          100.00,"91",                                ,"  ",                          100.00,"53",                                ,"  ",                          100.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           33.23,                                ,                          144.94,                                ,                          115.95,                                ,                                ,                                ,                                ,                                ,                        348920,                              ,                       1521870,                              ,                       1217480,                              ,                              ,                              ,                              ,                              ,"SS1 ",                         24624,                              ,                              ,"EL1 ",                              ,                             1,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         10500,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                            1.00,"  ",                            50,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          3364,"12-Jan-2012" 
